arac_sayisi,dispatch_kural,zamaninda,gecikmeli,karsilanamayan,karsilama_pct,starvation_dk,starvation_pct,toplam_tur,ort_kutu_tur,doluluk_pct,replikasyon,seed
2,SLACK,8,64,110,39.56,6392,61.2261,16,4.62,18.5,7,106
2,FIFO,8,64,110,39.56,6393,61.2356,16,4.62,18.5,7,106
4,KRITIKLIK,51,92,39,78.57,2935,28.113,32,4.56,18.2,7,106
4,EDD,28,115,39,78.57,2796,26.7816,32,4.59,18.4,7,106
4,SLACK,28,115,39,78.57,2798,26.8008,32,4.59,18.4,7,106
4,FIFO,28,115,39,78.57,2796,26.7816,32,4.59,18.4,7,106
2,KRITIKLIK,17,55,110,39.56,6440,61.6858,16,4.62,18.5,8,107
2,EDD,8,64,110,39.56,6372,61.0345,16,4.62,18.5,8,107
2,SLACK,8,64,110,39.56,6365,60.9674,16,4.62,18.5,8,107
2,FIFO,8,64,110,39.56,6371,61.0249,16,4.62,18.5,8,107
4,KRITIKLIK,51,92,39,78.57,2914,27.9119,32,4.56,18.2,8,107
4,EDD,28,115,39,78.57,2756,26.3985,32,4.59,18.4,8,107
4,SLACK,28,115,39,78.57,2754,26.3793,32,4.59,18.4,8,107
4,FIFO,28,115,39,78.57,2754,26.3793,32,4.59,18.4,8,107
2,KRITIKLIK,17,55,110,39.56,6452,61.8008,16,4.62,18.5,9,108
2,EDD,8,64,110,39.56,6356,60.8812,16,4.62,18.5,9,108
2,SLACK,8,64,110,39.56,6357,60.8908,16,4.62,18.5,9,108
2,FIFO,8,64,110,39.56,6356,60.8812,16,4.62,18.5,9,108
4,KRITIKLIK,51,92,39,78.57,2899,27.7682,32,4.56,18.2,9,108
4,EDD,28,115,39,78.57,2762,26.4559,32,4.59,18.4,9,108
4,SLACK,28,115,39,78.57,2757,26.408,32,4.59,18.4,9,108
4,FIFO,28,115,39,78.57,2762,26.4559,32,4.59,18.4,9,108
2,KRITIKLIK,17,55,110,39.56,6457,61.8487,16,4.62,18.5,10,109
2,EDD,8,64,110,39.56,6376,61.0728,16,4.62,18.5,10,109
2,SLACK,8,64,110,39.56,6376,61.0728,16,4.62,18.5,10,109
2,FIFO,8,64,110,39.56,6376,61.0728,16,4.62,18.5,10,109
4,KRITIKLIK,51,92,39,78.57,2920,27.9693,32,4.56,18.2,10,109
4,EDD,28,115,39,78.57,2773,26.5613,32,4.59,18.4,10,109
4,SLACK,28,115,39,78.57,2781,26.6379,32,4.59,18.4,10,109
4,FIFO,28,115,39,78.57,2771,26.5421,32,4.59,18.4,10,109
2,KRITIKLIK,17,55,110,39.56,6417,61.4655,16,4.62,18.5,11,110
2,EDD,8,64,110,39.56,6364,60.9579,16,4.62,18.5,11,110
2,SLACK,8,64,110,39.56,6368,60.9962,16,4.62,18.5,11,110
2,FIFO,8,64,110,39.56,6366,60.977,16,4.62,18.5,11,110
4,KRITIKLIK,51,92,39,78.57,2883,27.6149,32,4.56,18.2,11,110
4,EDD,28,115,39,78.57,2738,26.2261,32,4.59,18.4,11,110
4,SLACK,28,115,39,78.57,2740,26.2452,32,4.59,18.4,11,110
4,FIFO,28,115,39,78.57,2737,26.2165,32,4.59,18.4,11,110
2,KRITIKLIK,17,55,110,39.56,6440,61.6858,16,4.62,18.5,12,111
2,EDD,8,64,110,39.56,6348,60.8046,16,4.62,18.5,12,111
2,SLACK,8,64,110,39.56,6351,60.8333,16,4.62,18.5,12,111
2,FIFO,8,64,110,39.56,6348,60.8046,16,4.62,18.5,12,111
4,KRITIKLIK,51,92,39,78.57,2910,27.8736,32,4.56,18.2,12,111
4,EDD,28,115,39,78.57,2754,26.3793,32,4.59,18.4,12,111
4,SLACK,28,115,39,78.57,2755,26.3889,32,4.59,18.4,12,111
4,FIFO,28,115,39,78.57,2754,26.3793,32,4.59,18.4,12,111
2,KRITIKLIK,17,55,110,39.56,6434,61.6284,16,4.62,18.5,13,112
2,EDD,8,64,110,39.56,6343,60.7567,16,4.62,18.5,13,112
2,SLACK,8,64,110,39.56,6349,60.8142,16,4.62,18.5,13,112
2,FIFO,8,64,110,39.56,6343,60.7567,16,4.62,18.5,13,112
4,KRITIKLIK,51,92,39,78.57,2890,27.682,32,4.56,18.2,13,112
4,EDD,28,115,39,78.57,2748,26.3218,32,4.59,18.4,13,112
4,SLACK,28,115,39,78.57,2740,26.2452,32,4.59,18.4,13,112
4,FIFO,28,115,39,78.57,2751,26.3506,32,4.59,18.4,13,112
2,KRITIKLIK,17,55,110,39.56,6445,61.7337,16,4.62,18.5,14,113
2,EDD,8,64,110,39.56,6389,61.1973,16,4.62,18.5,14,113
2,SLACK,8,64,110,39.56,6387,61.1782,16,4.62,18.5,14,113
2,FIFO,8,64,110,39.56,6387,61.1782,16,4.62,18.5,14,113
4,KRITIKLIK,51,92,39,78.57,2928,28.046,32,4.56,18.2,14,113
4,EDD,28,115,39,78.57,2804,26.8582,32,4.59,18.4,14,113
4,SLACK,28,115,39,78.57,2795,26.772,32,4.59,18.4,14,113
4,FIFO,28,115,39,78.57,2802,26.8391,32,4.59,18.4,14,113
2,KRITIKLIK,17,55,110,39.56,6449,61.772,16,4.62,18.5,15,114
2,EDD,8,64,110,39.56,6368,60.9962,16,4.62,18.5,15,114
2,SLACK,8,64,110,39.56,6367,60.9866,16,4.62,18.5,15,114
2,FIFO,8,64,110,39.56,6368,60.9962,16,4.62,18.5,15,114
4,KRITIKLIK,51,92,39,78.57,2916,27.931,32,4.56,18.2,15,114
4,EDD,28,115,39,78.57,2796,26.7816,32,4.59,18.4,15,114
4,SLACK,28,115,39,78.57,2794,26.7625,32,4.59,18.4,15,114
4,FIFO,28,115,39,78.57,2794,26.7625,32,4.59,18.4,15,114
2,KRITIKLIK,17,55,110,39.56,6432,61.6092,16,4.62,18.5,16,115
2,EDD,8,64,110,39.56,6350,60.8238,16,4.62,18.5,16,115
2,SLACK,8,64,110,39.56,6342,60.7471,16,4.62,18.5,16,115
2,FIFO,8,64,110,39.56,6353,60.8525,16,4.62,18.5,16,115
4,KRITIKLIK,51,92,39,78.57,2880,27.5862,32,4.56,18.2,16,115
4,EDD,28,115,39,78.57,2748,26.3218,32,4.59,18.4,16,115
4,SLACK,28,115,39,78.57,2747,26.3123,32,4.59,18.4,16,115
4,FIFO,28,115,39,78.57,2752,26.3602,32,4.59,18.4,16,115
2,KRITIKLIK,17,55,110,39.56,6405,61.3506,16,4.62,18.5,17,116
2,EDD,8,64,110,39.56,6324,60.5747,16,4.62,18.5,17,116
2,SLACK,8,64,110,39.56,6327,60.6034,16,4.62,18.5,17,116
2,FIFO,8,64,110,39.56,6324,60.5747,16,4.62,18.5,17,116
4,KRITIKLIK,51,92,39,78.57,2874,27.5287,32,4.56,18.2,17,116
4,EDD,28,115,39,78.57,2720,26.0536,32,4.59,18.4,17,116
4,SLACK,28,115,39,78.57,2716,26.0153,32,4.59,18.4,17,116
4,FIFO,28,115,39,78.57,2719,26.0441,32,4.59,18.4,17,116
2,KRITIKLIK,17,55,110,39.56,6437,61.6571,16,4.62,18.5,18,117
2,EDD,8,64,110,39.56,6362,60.9387,16,4.62,18.5,18,117
2,SLACK,8,64,110,39.56,6364,60.9579,16,4.62,18.5,18,117
2,FIFO,8,64,110,39.56,6359,60.91,16,4.62,18.5,18,117
4,KRITIKLIK,51,92,39,78.57,2902,27.7969,32,4.56,18.2,18,117
4,EDD,28,115,39,78.57,2759,26.4272,32,4.59,18.4,18,117
4,SLACK,28,115,39,78.57,2756,26.3985,32,4.59,18.4,18,117
4,FIFO,28,115,39,78.57,2761,26.4464,32,4.59,18.4,18,117
2,KRITIKLIK,17,55,110,39.56,6480,62.069,16,4.62,18.5,19,118
2,EDD,8,64,110,39.56,6355,60.8716,16,4.62,18.5,19,118
2,SLACK,8,64,110,39.56,6354,60.8621,16,4.62,18.5,19,118
2,FIFO,8,64,110,39.56,6355,60.8716,16,4.62,18.5,19,118
4,KRITIKLIK,51,92,39,78.57,2920,27.9693,32,4.56,18.2,19,118
4,EDD,28,115,39,78.57,2774,26.5709,32,4.59,18.4,19,118
4,SLACK,28,115,39,78.57,2774,26.5709,32,4.59,18.4,19,118
4,FIFO,28,115,39,78.57,2774,26.5709,32,4.59,18.4,19,118
2,KRITIKLIK,17,55,110,39.56,6451,61.7912,16,4.62,18.5,20,119
2,EDD,8,64,110,39.56,6383,61.1398,16,4.62,18.5,20,119
2,SLACK,8,64,110,39.56,6383,61.1398,16,4.62,18.5,20,119
2,FIFO,8,64,110,39.56,6380,61.1111,16,4.62,18.5,20,119
4,KRITIKLIK,51,92,39,78.57,2913,27.9023,32,4.56,18.2,20,119
4,EDD,28,115,39,78.57,2792,26.7433,32,4.59,18.4,20,119
4,SLACK,28,115,39,78.57,2797,26.7912,32,4.59,18.4,20,119
4,FIFO,28,115,39,78.57,2790,26.7241,32,4.59,18.4,20,119
2,KRITIKLIK,17,55,110,39.56,6427,61.5613,16,4.62,18.5,21,120
2,EDD,8,64,110,39.56,6363,60.9483,16,4.62,18.5,21,120
2,SLACK,8,64,110,39.56,6368,60.9962,16,4.62,18.5,21,120
2,FIFO,8,64,110,39.56,6362,60.9387,16,4.62,18.5,21,120
4,KRITIKLIK,51,92,39,78.57,2886,27.6437,32,4.56,18.2,21,120
4,EDD,28,115,39,78.57,2752,26.3602,32,4.59,18.4,21,120
4,SLACK,28,115,39,78.57,2753,26.3697,32,4.59,18.4,21,120
4,FIFO,28,115,39,78.57,2754,26.3793,32,4.59,18.4,21,120
2,KRITIKLIK,17,55,110,39.56,6439,61.6762,16,4.62,18.5,22,121
2,EDD,8,64,110,39.56,6353,60.8525,16,4.62,18.5,22,121
2,SLACK,8,64,110,39.56,6352,60.8429,16,4.62,18.5,22,121
2,FIFO,8,64,110,39.56,6353,60.8525,16,4.62,18.5,22,121
4,KRITIKLIK,51,92,39,78.57,2914,27.9119,32,4.56,18.2,22,121
4,EDD,28,115,39,78.57,2783,26.6571,32,4.59,18.4,22,121
4,SLACK,28,115,39,78.57,2779,26.6188,32,4.59,18.4,22,121
4,FIFO,28,115,39,78.57,2783,26.6571,32,4.59,18.4,22,121
2,KRITIKLIK,17,55,110,39.56,6449,61.772,16,4.62,18.5,23,122
2,EDD,8,64,110,39.56,6390,61.2069,16,4.62,18.5,23,122
2,SLACK,8,64,110,39.56,6386,61.1686,16,4.62,18.5,23,122
2,FIFO,8,64,110,39.56,6389,61.1973,16,4.62,18.5,23,122
4,KRITIKLIK,51,92,39,78.57,2929,28.0556,32,4.56,18.2,23,122
4,EDD,28,115,39,78.57,2790,26.7241,32,4.59,18.4,23,122
4,SLACK,28,115,39,78.57,2792,26.7433,32,4.59,18.4,23,122
4,FIFO,28,115,39,78.57,2790,26.7241,32,4.59,18.4,23,122
2,KRITIKLIK,17,55,110,39.56,6435,61.6379,16,4.62,18.5,24,123
2,EDD,8,64,110,39.56,6366,60.977,16,4.62,18.5,24,123
2,SLACK,8,64,110,39.56,6373,61.0441,16,4.62,18.5,24,123
2,FIFO,8,64,110,39.56,6366,60.977,16,4.62,18.5,24,123
4,KRITIKLIK,51,92,39,78.57,2900,27.7778,32,4.56,18.2,24,123
4,EDD,28,115,39,78.57,2786,26.6858,32,4.59,18.4,24,123
4,SLACK,28,115,39,78.57,2790,26.7241,32,4.59,18.4,24,123
4,FIFO,28,115,39,78.57,2784,26.6667,32,4.59,18.4,24,123
2,KRITIKLIK,17,55,110,39.56,6458,61.8582,16,4.62,18.5,25,124
2,EDD,8,64,110,39.56,6385,61.159,16,4.62,18.5,25,124
2,SLACK,8,64,110,39.56,6379,61.1015,16,4.62,18.5,25,124
2,FIFO,8,64,110,39.56,6382,61.1303,16,4.62,18.5,25,124
4,KRITIKLIK,51,92,39,78.57,2935,28.113,32,4.56,18.2,25,124
4,EDD,28,115,39,78.57,2803,26.8487,32,4.59,18.4,25,124
4,SLACK,28,115,39,78.57,2800,26.8199,32,4.59,18.4,25,124
4,FIFO,28,115,39,78.57,2803,26.8487,32,4.59,18.4,25,124
2,KRITIKLIK,17,55,110,39.56,6441,61.6954,16,4.62,18.5,26,125
2,EDD,8,64,110,39.56,6343,60.7567,16,4.62,18.5,26,125
2,SLACK,8,64,110,39.56,6344,60.7663,16,4.62,18.5,26,125
2,FIFO,8,64,110,39.56,6344,60.7663,16,4.62,18.5,26,125
4,KRITIKLIK,51,92,39,78.57,2883,27.6149,32,4.56,18.2,26,125
4,EDD,28,115,39,78.57,2748,26.3218,32,4.59,18.4,26,125
4,SLACK,28,115,39,78.57,2745,26.2931,32,4.59,18.4,26,125
4,FIFO,28,115,39,78.57,2746,26.3027,32,4.59,18.4,26,125
2,KRITIKLIK,17,55,110,39.56,6421,61.5038,16,4.62,18.5,27,126
2,EDD,8,64,110,39.56,6370,61.0153,16,4.62,18.5,27,126
2,SLACK,8,64,110,39.56,6370,61.0153,16,4.62,18.5,27,126
2,FIFO,8,64,110,39.56,6373,61.0441,16,4.62,18.5,27,126
4,KRITIKLIK,51,92,39,78.57,2890,27.682,32,4.56,18.2,27,126
4,EDD,28,115,39,78.57,2763,26.4655,32,4.59,18.4,27,126
4,SLACK,28,115,39,78.57,2762,26.4559,32,4.59,18.4,27,126
4,FIFO,28,115,39,78.57,2761,26.4464,32,4.59,18.4,27,126
2,KRITIKLIK,17,55,110,39.56,6448,61.7625,16,4.62,18.5,28,127
2,EDD,8,64,110,39.56,6359,60.91,16,4.62,18.5,28,127
2,SLACK,8,64,110,39.56,6353,60.8525,16,4.62,18.5,28,127
2,FIFO,8,64,110,39.56,6360,60.9195,16,4.62,18.5,28,127
4,KRITIKLIK,51,92,39,78.57,2911,27.8831,32,4.56,18.2,28,127
4,EDD,28,115,39,78.57,2771,26.5421,32,4.59,18.4,28,127
4,SLACK,28,115,39,78.57,2771,26.5421,32,4.59,18.4,28,127
4,FIFO,28,115,39,78.57,2772,26.5517,32,4.59,18.4,28,127
2,KRITIKLIK,17,55,110,39.56,6446,61.7433,16,4.62,18.5,29,128
2,EDD,8,64,110,39.56,6374,61.0536,16,4.62,18.5,29,128
2,SLACK,8,64,110,39.56,6376,61.0728,16,4.62,18.5,29,128
2,FIFO,8,64,110,39.56,6374,61.0536,16,4.62,18.5,29,128
4,KRITIKLIK,51,92,39,78.57,2915,27.9215,32,4.56,18.2,29,128
4,EDD,28,115,39,78.57,2776,26.59,32,4.59,18.4,29,128
4,SLACK,28,115,39,78.57,2778,26.6092,32,4.59,18.4,29,128
4,FIFO,28,115,39,78.57,2779,26.6188,32,4.59,18.4,29,128
2,KRITIKLIK,17,55,110,39.56,6445,61.7337,16,4.62,18.5,30,129
2,EDD,8,64,110,39.56,6378,61.092,16,4.62,18.5,30,129
2,SLACK,8,64,110,39.56,6372,61.0345,16,4.62,18.5,30,129
2,FIFO,8,64,110,39.56,6378,61.092,16,4.62,18.5,30,129
4,KRITIKLIK,51,92,39,78.57,2905,27.8257,32,4.56,18.2,30,129
4,EDD,28,115,39,78.57,2768,26.5134,32,4.59,18.4,30,129
4,SLACK,28,115,39,78.57,2760,26.4368,32,4.59,18.4,30,129
4,FIFO,28,115,39,78.57,2768,26.5134,32,4.59,18.4,30,129
