sinyal_id,istasyon_id,hat,sinyal_dk,periyot,stok_o_an,rop_esigi,kritiklik_skoru,tw_baslangic,tw_bitis,tw_genislik_dk,starvation_riski,lt_dk,istenen_kutu,istenen_adet,durum,oncelik_sirasi
S14_001,S14,Hat-3,15,ISINMA (0-45dk),2.355,15.525,0.1517,15,61,46,66.7,45,1,20,TESLİM(VARSAYIM),1
S22_001,S22,Hat-4,16,ISINMA (0-45dk),2.405,15.525,0.1549,16,61,45,66.7,45,1,20,TESLİM(VARSAYIM),3
S21_001,S21,Hat-4,17,ISINMA (0-45dk),1.478,11.212,0.1318,17,63,46,68.1,45,1,15,TESLİM(VARSAYIM),2
S6_001,S6,Hat-1,18,ISINMA (0-45dk),1.598,14.662,0.109,18,64,46,69.6,45,1,20,TESLİM(VARSAYIM),1
S8_001,S8,Hat-2,18,ISINMA (0-45dk),1.854,11.212,0.1653,18,64,46,69.3,45,1,15,TESLİM(VARSAYIM),3
S17_001,S17,Hat-3,18,ISINMA (0-45dk),2.075,14.662,0.1415,18,64,46,69.4,45,1,20,TESLİM(VARSAYIM),2
S11_001,S11,Hat-2,22,ISINMA (0-45dk),2.346,13.8,0.17,22,68,46,73.7,45,1,20,TESLİM(VARSAYIM),4
S5_001,S5,Hat-1,23,ISINMA (0-45dk),1.411,10.35,0.1363,23,69,46,74.1,45,1,15,TESLİM(VARSAYIM),2
S20_001,S20,Hat-4,23,ISINMA (0-45dk),1.427,13.8,0.1034,23,69,46,74.3,45,1,20,TESLİM(VARSAYIM),1
S23_001,S23,Hat-4,24,ISINMA (0-45dk),1.251,10.35,0.1209,24,70,46,75.6,45,1,15,TESLİM(VARSAYIM),1
S10_001,S10,Hat-2,28,ISINMA (0-45dk),1.212,9.487,0.1277,28,74,46,79.4,45,1,15,TESLİM(VARSAYIM),1
S16_001,S16,Hat-3,47,KARARLI (45-480dk),2.155,20.7,0.1041,47,92,45,97.9,45,2,40,TESLİM(VARSAYIM),1
S13_002,S13,Hat-3,51,KARARLI (45-480dk),2.624,19.837,0.1323,51,96,45,101.8,45,1,20,TESLİM(VARSAYIM),1
S1_002,S1,Hat-1,56,KARARLI (45-480dk),2.896,18.975,0.1526,56,102,46,107.3,45,1,20,TESLİM(VARSAYIM),1
S7_002,S7,Hat-2,60,KARARLI (45-480dk),2.701,18.112,0.1491,60,106,46,111.3,45,1,20,TESLİM(VARSAYIM),1
S24_002,S24,Hat-4,63,KARARLI (45-480dk),2.245,18.112,0.124,63,109,46,114.2,45,1,20,TESLİM(VARSAYIM),1
S19_002,S19,Hat-4,65,KARARLI (45-480dk),2.275,17.25,0.1319,65,111,46,116.2,45,1,20,TESLİM(VARSAYIM),1
S4_002,S4,Hat-1,66,KARARLI (45-480dk),2.564,17.25,0.1486,66,112,46,117.2,45,1,20,TESLİM(VARSAYIM),1
S3_002,S3,Hat-1,68,KARARLI (45-480dk),2.129,12.937,0.1645,68,113,45,118.8,45,1,15,TESLİM(VARSAYIM),2
S15_002,S15,Hat-3,68,KARARLI (45-480dk),1.853,12.937,0.1432,68,114,46,119.4,45,1,15,TESLİM(VARSAYIM),1
S18_002,S18,Hat-3,73,KARARLI (45-480dk),0.969,12.075,0.0802,73,119,46,124.6,45,1,15,TESLİM(VARSAYIM),1
S9_002,S9,Hat-2,74,KARARLI (45-480dk),2.041,16.387,0.1245,74,120,46,125.7,45,1,20,TESLİM(VARSAYIM),1
S12_002,S12,Hat-2,75,KARARLI (45-480dk),1.75,12.075,0.145,75,121,46,126.1,45,1,15,TESLİM(VARSAYIM),1
S14_002,S14,Hat-3,81,KARARLI (45-480dk),2.196,15.525,0.1415,81,126,45,131.6,45,1,20,TESLİM(VARSAYIM),1
S2_002,S2,Hat-1,82,KARARLI (45-480dk),2.023,15.525,0.1303,82,127,45,132.5,45,1,20,TESLİM(VARSAYIM),1
S22_002,S22,Hat-4,83,KARARLI (45-480dk),2.702,15.525,0.1741,83,129,46,134.1,45,1,20,TESLİM(VARSAYIM),1
S6_002,S6,Hat-1,86,KARARLI (45-480dk),1.637,14.662,0.1116,86,132,46,137.7,45,1,20,TESLİM(VARSAYIM),1
S21_002,S21,Hat-4,86,KARARLI (45-480dk),1.731,11.212,0.1544,86,132,46,137.2,45,1,15,TESLİM(VARSAYIM),2
S8_002,S8,Hat-2,89,KARARLI (45-480dk),1.244,11.212,0.1109,89,134,45,139.7,45,1,15,TESLİM(VARSAYIM),1
S17_002,S17,Hat-3,89,KARARLI (45-480dk),2.716,14.662,0.1852,89,135,46,140.2,45,1,20,TESLİM(VARSAYIM),2
S20_002,S20,Hat-4,96,KARARLI (45-480dk),2.058,13.8,0.1491,96,141,45,147.0,45,1,20,TESLİM(VARSAYIM),1
S5_002,S5,Hat-1,98,KARARLI (45-480dk),1.146,10.35,0.1107,98,144,46,149.0,45,1,15,TESLİM(VARSAYIM),1
S23_002,S23,Hat-4,98,KARARLI (45-480dk),1.354,10.35,0.1309,98,144,46,149.0,45,1,15,TESLİM(VARSAYIM),2
S11_002,S11,Hat-2,100,KARARLI (45-480dk),2.008,13.8,0.1455,100,145,45,150.6,45,1,20,TESLİM(VARSAYIM),1
S13_003,S13,Hat-3,103,KARARLI (45-480dk),2.35,19.837,0.1185,103,149,46,154.0,45,1,20,TESLİM(VARSAYIM),1
S10_002,S10,Hat-2,108,KARARLI (45-480dk),1.984,9.487,0.2091,108,153,45,158.9,45,1,15,TESLİM(VARSAYIM),2
S1_003,S1,Hat-1,111,KARARLI (45-480dk),2.55,18.975,0.1344,111,157,46,162.1,45,1,20,TESLİM(VARSAYIM),1
S7_003,S7,Hat-2,117,KARARLI (45-480dk),2.315,18.112,0.1278,117,163,46,168.1,45,1,20,TESLİM(VARSAYIM),1
S24_003,S24,Hat-4,120,KARARLI (45-480dk),1.445,18.112,0.0798,120,166,46,171.2,45,1,20,TESLİM(VARSAYIM),1
S19_003,S19,Hat-4,125,KARARLI (45-480dk),2.668,17.25,0.1546,125,171,46,176.1,45,1,20,TESLİM(VARSAYIM),1
S4_003,S4,Hat-1,127,KARARLI (45-480dk),2.667,17.25,0.1546,127,173,46,178.3,45,1,20,TESLİM(VARSAYIM),2
S15_003,S15,Hat-3,128,KARARLI (45-480dk),1.324,12.937,0.1023,128,173,45,179.0,45,1,15,TESLİM(VARSAYIM),1
S3_003,S3,Hat-1,129,KARARLI (45-480dk),2.1,12.937,0.1623,129,175,46,180.5,45,1,15,TESLİM(VARSAYIM),1
S18_003,S18,Hat-3,134,KARARLI (45-480dk),2.209,12.075,0.1829,134,180,46,185.4,45,1,15,TESLİM(VARSAYIM),1
S9_003,S9,Hat-2,137,KARARLI (45-480dk),2.414,16.387,0.1473,137,183,46,188.3,45,1,20,TESLİM(VARSAYIM),1
S12_003,S12,Hat-2,139,KARARLI (45-480dk),1.622,12.075,0.1343,139,184,45,189.7,45,1,15,TESLİM(VARSAYIM),1
S16_002,S16,Hat-3,145,KARARLI (45-480dk),3.431,20.7,0.1657,145,191,46,196.5,45,2,40,TESLİM(VARSAYIM),1
S14_003,S14,Hat-3,147,KARARLI (45-480dk),2.32,15.525,0.1494,147,193,46,198.3,45,1,20,TESLİM(VARSAYIM),1
S2_003,S2,Hat-1,148,KARARLI (45-480dk),2.648,15.525,0.1705,148,194,46,199.0,45,1,20,TESLİM(VARSAYIM),1
S22_003,S22,Hat-4,153,KARARLI (45-480dk),2.091,15.525,0.1347,153,198,45,203.7,45,1,20,TESLİM(VARSAYIM),2
S13_004,S13,Hat-3,154,KARARLI (45-480dk),2.131,19.837,0.1074,154,199,45,204.8,45,1,20,TESLİM(VARSAYIM),1
S21_003,S21,Hat-4,154,KARARLI (45-480dk),1.742,11.212,0.1553,154,200,46,205.4,45,1,15,TESLİM(VARSAYIM),2
S6_003,S6,Hat-1,155,KARARLI (45-480dk),2.368,14.662,0.1615,155,201,46,206.4,45,1,20,TESLİM(VARSAYIM),1
S8_003,S8,Hat-2,156,KARARLI (45-480dk),1.847,11.212,0.1647,156,202,46,207.5,45,1,15,TESLİM(VARSAYIM),1
S17_003,S17,Hat-3,161,KARARLI (45-480dk),1.965,14.662,0.134,161,207,46,212.5,45,1,20,TESLİM(VARSAYIM),1
S1_004,S1,Hat-1,165,KARARLI (45-480dk),3.19,18.975,0.1681,165,211,46,216.5,45,1,20,TESLİM(VARSAYIM),1
S5_003,S5,Hat-1,170,KARARLI (45-480dk),1.545,10.35,0.1493,170,215,45,221.0,45,1,15,TESLİM(VARSAYIM),1
S20_003,S20,Hat-4,171,KARARLI (45-480dk),2.122,13.8,0.1538,171,217,46,222.1,45,1,20,TESLİM(VARSAYIM),2
S7_004,S7,Hat-2,174,KARARLI (45-480dk),3.497,18.112,0.193,174,220,46,225.2,45,1,20,TESLİM(VARSAYIM),3
S24_004,S24,Hat-4,174,KARARLI (45-480dk),1.521,18.112,0.084,174,219,45,225.0,45,1,20,TESLİM(VARSAYIM),1
S23_003,S23,Hat-4,175,KARARLI (45-480dk),1.458,10.35,0.1409,175,220,45,226.0,45,1,15,TESLİM(VARSAYIM),1
S11_003,S11,Hat-2,177,KARARLI (45-480dk),2.259,13.8,0.1637,177,223,46,228.6,45,1,20,TESLİM(VARSAYIM),1
S15_004,S15,Hat-3,186,KARARLI (45-480dk),1.944,12.937,0.1503,186,232,46,237.2,45,1,15,TESLİM(VARSAYIM),1
S19_004,S19,Hat-4,187,KARARLI (45-480dk),2.738,17.25,0.1587,187,233,46,238.6,45,1,20,TESLİM(VARSAYIM),1
S4_004,S4,Hat-1,189,KARARLI (45-480dk),2.713,17.25,0.1573,189,235,46,240.7,45,1,20,TESLİM(VARSAYIM),1
S3_004,S3,Hat-1,190,KARARLI (45-480dk),1.956,12.937,0.1512,190,236,46,241.2,45,1,15,TESLİM(VARSAYIM),1
S10_003,S10,Hat-2,195,KARARLI (45-480dk),1.119,9.487,0.1179,195,240,45,246.0,45,1,15,TESLİM(VARSAYIM),1
S9_004,S9,Hat-2,200,KARARLI (45-480dk),1.78,16.387,0.1086,200,246,46,251.0,45,1,20,TESLİM(VARSAYIM),1
S18_004,S18,Hat-3,200,KARARLI (45-480dk),2.133,12.075,0.1766,200,246,46,251.3,45,1,15,TESLİM(VARSAYIM),2
S12_004,S12,Hat-2,203,KARARLI (45-480dk),2.383,12.075,0.1974,203,248,45,253.8,45,1,15,TESLİM(VARSAYIM),2
S13_005,S13,Hat-3,205,KARARLI (45-480dk),2.37,19.837,0.1195,205,250,45,255.7,45,1,20,TESLİM(VARSAYIM),1
S14_004,S14,Hat-3,213,KARARLI (45-480dk),2.569,15.525,0.1654,213,259,46,264.5,45,1,20,TESLİM(VARSAYIM),1
S2_004,S2,Hat-1,217,KARARLI (45-480dk),2.402,15.525,0.1547,217,262,45,267.9,45,1,20,TESLİM(VARSAYIM),1
S22_004,S22,Hat-4,218,KARARLI (45-480dk),2.778,15.525,0.179,218,264,46,269.6,45,1,20,TESLİM(VARSAYIM),1
S1_005,S1,Hat-1,221,KARARLI (45-480dk),3.02,18.975,0.1592,221,267,46,272.3,45,1,20,TESLİM(VARSAYIM),2
S21_004,S21,Hat-4,223,KARARLI (45-480dk),1.122,11.212,0.1,223,269,46,274.7,45,1,15,TESLİM(VARSAYIM),1
S8_004,S8,Hat-2,225,KARARLI (45-480dk),1.689,11.212,0.1506,225,271,46,276.7,45,1,15,TESLİM(VARSAYIM),1
S6_004,S6,Hat-1,226,KARARLI (45-480dk),2.196,14.662,0.1497,226,272,46,277.7,45,1,20,TESLİM(VARSAYIM),1
S24_005,S24,Hat-4,227,KARARLI (45-480dk),3.588,18.112,0.1981,227,273,46,278.6,45,1,20,TESLİM(VARSAYIM),1
S17_004,S17,Hat-3,232,KARARLI (45-480dk),1.623,14.662,0.1107,232,278,46,283.0,45,1,20,TESLİM(VARSAYIM),1
S7_005,S7,Hat-2,236,KARARLI (45-480dk),2.781,18.112,0.1535,236,281,45,286.3,45,1,20,TESLİM(VARSAYIM),1
S16_003,S16,Hat-3,245,KARARLI (45-480dk),3.557,20.7,0.1718,245,291,46,296.3,45,2,40,TESLİM(VARSAYIM),3
S5_004,S5,Hat-1,246,KARARLI (45-480dk),1.713,10.35,0.1655,246,292,46,297.6,45,1,15,TESLİM(VARSAYIM),3
S15_005,S15,Hat-3,247,KARARLI (45-480dk),1.523,12.937,0.1177,247,292,45,297.8,45,1,15,TESLİM(VARSAYIM),1
S20_004,S20,Hat-4,247,KARARLI (45-480dk),1.873,13.8,0.1357,247,292,45,297.8,45,1,20,TESLİM(VARSAYIM),2
S19_005,S19,Hat-4,248,KARARLI (45-480dk),2.726,17.25,0.158,248,293,45,298.7,45,1,20,TESLİM(VARSAYIM),1
S23_004,S23,Hat-4,250,KARARLI (45-480dk),1.5,10.35,0.1449,250,296,46,301.1,45,1,15,TESLİM(VARSAYIM),3
S3_005,S3,Hat-1,251,KARARLI (45-480dk),1.369,12.937,0.1058,251,297,46,302.2,45,1,15,TESLİM(VARSAYIM),1
S4_005,S4,Hat-1,251,KARARLI (45-480dk),2.131,17.25,0.1235,251,297,46,302.2,45,1,20,TESLİM(VARSAYIM),2
S11_004,S11,Hat-2,254,KARARLI (45-480dk),2.152,13.8,0.1559,254,299,45,304.6,45,1,20,TESLİM(VARSAYIM),2
S13_006,S13,Hat-3,255,KARARLI (45-480dk),2.173,19.837,0.1095,255,301,46,306.7,45,1,20,TESLİM(VARSAYIM),1
S9_005,S9,Hat-2,262,KARARLI (45-480dk),2.896,16.387,0.1767,262,308,46,313.0,45,1,20,TESLİM(VARSAYIM),1
S18_005,S18,Hat-3,266,KARARLI (45-480dk),1.874,12.075,0.1552,266,312,46,317.7,45,1,15,TESLİM(VARSAYIM),1
S12_005,S12,Hat-2,269,KARARLI (45-480dk),1.584,12.075,0.1312,269,315,46,320.6,45,1,15,TESLİM(VARSAYIM),1
S1_006,S1,Hat-1,277,KARARLI (45-480dk),2.225,18.975,0.1173,277,323,46,328.2,45,1,20,TESLİM(VARSAYIM),2
S10_004,S10,Hat-2,277,KARARLI (45-480dk),1.039,9.487,0.1095,277,322,45,327.6,45,1,15,TESLİM(VARSAYIM),1
S14_005,S14,Hat-3,282,KARARLI (45-480dk),2.553,15.525,0.1645,282,328,46,333.4,45,1,20,TESLİM(VARSAYIM),1
S2_005,S2,Hat-1,286,KARARLI (45-480dk),2.612,15.525,0.1682,286,331,45,336.8,45,1,20,TESLİM(VARSAYIM),2
S24_006,S24,Hat-4,287,KARARLI (45-480dk),2.508,18.112,0.1385,287,332,45,337.6,45,1,20,TESLİM(VARSAYIM),1
S22_005,S22,Hat-4,288,KARARLI (45-480dk),2.113,15.525,0.1361,288,333,45,339.0,45,1,20,TESLİM(VARSAYIM),1
S21_005,S21,Hat-4,291,KARARLI (45-480dk),1.561,11.212,0.1392,291,337,46,342.3,45,1,15,TESLİM(VARSAYIM),1
S7_006,S7,Hat-2,294,KARARLI (45-480dk),3.055,18.112,0.1687,294,340,46,345.4,45,1,20,TESLİM(VARSAYIM),3
S8_005,S8,Hat-2,294,KARARLI (45-480dk),1.061,11.212,0.0946,294,340,46,345.1,45,1,15,TESLİM(VARSAYIM),1
S6_005,S6,Hat-1,296,KARARLI (45-480dk),1.775,14.662,0.121,296,341,45,346.8,45,1,20,TESLİM(VARSAYIM),1
S17_005,S17,Hat-3,301,KARARLI (45-480dk),2.372,14.662,0.1617,301,347,46,352.0,45,1,20,TESLİM(VARSAYIM),1
S13_007,S13,Hat-3,305,KARARLI (45-480dk),2.874,19.837,0.1449,305,351,46,356.2,45,1,20,TESLİM(VARSAYIM),2
S15_006,S15,Hat-3,305,KARARLI (45-480dk),1.555,12.937,0.1202,305,351,46,356.5,45,1,15,TESLİM(VARSAYIM),1
S19_006,S19,Hat-4,309,KARARLI (45-480dk),2.148,17.25,0.1245,309,355,46,360.7,45,1,20,TESLİM(VARSAYIM),2
S3_006,S3,Hat-1,310,KARARLI (45-480dk),1.319,12.937,0.102,310,355,45,360.9,45,1,15,TESLİM(VARSAYIM),1
S4_006,S4,Hat-1,312,KARARLI (45-480dk),1.708,17.25,0.099,312,357,45,362.9,45,1,20,TESLİM(VARSAYIM),1
S5_005,S5,Hat-1,323,KARARLI (45-480dk),1.748,10.35,0.1689,323,369,46,374.2,45,1,15,TESLİM(VARSAYIM),2
S20_005,S20,Hat-4,323,KARARLI (45-480dk),1.455,13.8,0.1054,323,369,46,374.4,45,1,20,TESLİM(VARSAYIM),1
S23_005,S23,Hat-4,324,KARARLI (45-480dk),1.857,10.35,0.1794,324,370,46,375.1,45,1,15,TESLİM(VARSAYIM),1
S9_006,S9,Hat-2,326,KARARLI (45-480dk),2.436,16.387,0.1486,326,372,46,377.3,45,1,20,TESLİM(VARSAYIM),1
S1_007,S1,Hat-1,329,KARARLI (45-480dk),3.098,18.975,0.1633,329,375,46,380.4,45,1,20,TESLİM(VARSAYIM),2
S11_005,S11,Hat-2,330,KARARLI (45-480dk),1.851,13.8,0.1341,330,375,45,380.7,45,1,20,TESLİM(VARSAYIM),1
S18_006,S18,Hat-3,332,KARARLI (45-480dk),1.43,12.075,0.1184,332,378,46,383.3,45,1,15,TESLİM(VARSAYIM),1
S12_006,S12,Hat-2,333,KARARLI (45-480dk),1.372,12.075,0.1136,333,378,45,384.0,45,1,15,TESLİM(VARSAYIM),1
S24_007,S24,Hat-4,344,KARARLI (45-480dk),2.707,18.112,0.1495,344,390,46,395.2,45,1,20,TESLİM(VARSAYIM),1
S16_004,S16,Hat-3,347,KARARLI (45-480dk),2.405,20.7,0.1162,347,393,46,398.2,45,2,40,TESLİM(VARSAYIM),1
S14_006,S14,Hat-3,348,KARARLI (45-480dk),2.111,15.525,0.136,348,394,46,399.1,45,1,20,TESLİM(VARSAYIM),1
S7_007,S7,Hat-2,352,KARARLI (45-480dk),2.528,18.112,0.1396,352,398,46,403.5,45,1,20,TESLİM(VARSAYIM),1
S2_006,S2,Hat-1,354,KARARLI (45-480dk),1.769,15.525,0.114,354,399,45,404.9,45,1,20,TESLİM(VARSAYIM),1
S22_006,S22,Hat-4,354,KARARLI (45-480dk),2.412,15.525,0.1553,354,400,46,405.5,45,1,20,TESLİM(VARSAYIM),2
S13_008,S13,Hat-3,357,KARARLI (45-480dk),2.723,19.837,0.1372,357,403,46,408.7,45,1,20,TESLİM(VARSAYIM),1
S10_005,S10,Hat-2,360,KARARLI (45-480dk),1.435,9.487,0.1512,360,406,46,411.7,45,1,15,TESLİM(VARSAYIM),2
S21_006,S21,Hat-4,360,KARARLI (45-480dk),1.668,11.212,0.1487,360,406,46,411.7,45,1,15,TESLİM(VARSAYIM),1
S8_006,S8,Hat-2,361,KARARLI (45-480dk),1.605,11.212,0.1432,361,406,45,411.8,45,1,15,TESLİM(VARSAYIM),1
S15_007,S15,Hat-3,364,KARARLI (45-480dk),1.697,12.937,0.1311,364,410,46,415.0,45,1,15,TESLİM(VARSAYIM),1
S6_006,S6,Hat-1,366,KARARLI (45-480dk),1.838,14.662,0.1254,366,412,46,417.5,45,1,20,TESLİM(VARSAYIM),1
S3_007,S3,Hat-1,368,KARARLI (45-480dk),1.8,12.937,0.1391,368,413,45,418.7,45,1,15,TESLİM(VARSAYIM),1
S19_007,S19,Hat-4,368,KARARLI (45-480dk),2.479,17.25,0.1437,368,414,46,419.2,45,1,20,TESLİM(VARSAYIM),2
S4_007,S4,Hat-1,370,KARARLI (45-480dk),2.606,17.25,0.1511,370,416,46,421.3,45,1,20,TESLİM(VARSAYIM),1
S17_006,S17,Hat-3,373,KARARLI (45-480dk),2.1,14.662,0.1432,373,419,46,424.0,45,1,20,TESLİM(VARSAYIM),1
S1_008,S1,Hat-1,385,KARARLI (45-480dk),2.704,18.975,0.1425,385,431,46,436.3,45,1,20,TESLİM(VARSAYIM),1
S9_007,S9,Hat-2,389,KARARLI (45-480dk),2.791,16.387,0.1703,389,435,46,440.7,45,1,20,TESLİM(VARSAYIM),1
S18_007,S18,Hat-3,395,KARARLI (45-480dk),1.58,12.075,0.1308,395,440,45,445.8,45,1,15,TESLİM(VARSAYIM),1
S20_006,S20,Hat-4,395,KARARLI (45-480dk),1.959,13.8,0.1419,395,441,46,446.7,45,1,20,TESLİM(VARSAYIM),2
S12_007,S12,Hat-2,397,KARARLI (45-480dk),1.353,12.075,0.112,397,443,46,448.0,45,1,15,TESLİM(VARSAYIM),1
S5_006,S5,Hat-1,399,KARARLI (45-480dk),1.58,10.35,0.1526,399,445,46,450.5,45,1,15,TESLİM(VARSAYIM),1
S23_006,S23,Hat-4,401,KARARLI (45-480dk),1.726,10.35,0.1668,401,447,46,452.1,45,1,15,TESLİM(VARSAYIM),1
S24_008,S24,Hat-4,402,KARARLI (45-480dk),2.803,18.112,0.1547,402,448,46,453.3,45,1,20,TESLİM(VARSAYIM),1
S11_006,S11,Hat-2,405,KARARLI (45-480dk),1.983,13.8,0.1437,405,451,46,456.1,45,1,20,TESLİM(VARSAYIM),1
S13_009,S13,Hat-3,409,KARARLI (45-480dk),2.175,19.837,0.1097,409,455,46,460.1,45,1,20,TESLİM(VARSAYIM),1
S7_008,S7,Hat-2,410,KARARLI (45-480dk),2.073,18.112,0.1144,410,455,45,460.8,45,1,20,TESLİM(VARSAYIM),1
S14_007,S14,Hat-3,415,KARARLI (45-480dk),1.656,15.525,0.1066,415,461,46,466.3,45,1,20,TESLİM(VARSAYIM),1
S2_007,S2,Hat-1,420,KARARLI (45-480dk),2.864,15.525,0.1845,420,466,46,471.2,45,1,20,TESLİM(VARSAYIM),1
S22_007,S22,Hat-4,423,KARARLI (45-480dk),2.332,15.525,0.1502,423,468,45,473.9,45,1,20,TESLİM(VARSAYIM),1
S15_008,S15,Hat-3,424,KARARLI (45-480dk),2.119,12.937,0.1638,424,470,46,475.0,45,1,15,TESLİM(VARSAYIM),1
S3_008,S3,Hat-1,428,KARARLI (45-480dk),1.922,12.937,0.1486,428,474,46,479.1,45,1,15,TESLİM(VARSAYIM),1
S19_008,S19,Hat-4,429,KARARLI (45-480dk),2.546,17.25,0.1476,429,475,46,480.1,45,1,20,TESLİM(VARSAYIM),2
S21_007,S21,Hat-4,429,KARARLI (45-480dk),1.833,11.212,0.1635,429,475,46,480.2,45,1,15,TESLİM(VARSAYIM),3
S4_008,S4,Hat-1,430,KARARLI (45-480dk),1.97,17.25,0.1142,430,476,46,481.5,45,1,20,TESLİM(VARSAYIM),1
S8_007,S8,Hat-2,430,KARARLI (45-480dk),1.972,11.212,0.1759,430,476,46,481.1,45,1,15,TESLİM(VARSAYIM),2
S6_007,S6,Hat-1,436,KARARLI (45-480dk),2.506,14.662,0.1709,436,481,45,486.9,45,1,20,ACIK(UFUK),1
S1_009,S1,Hat-1,439,KARARLI (45-480dk),5.024,18.975,0.2648,439,485,46,490.7,45,1,20,ACIK(UFUK),2
S10_006,S10,Hat-2,442,KARARLI (45-480dk),2.588,9.487,0.2727,442,488,46,493.6,45,1,15,ACIK(UFUK),4
S17_007,S17,Hat-3,442,KARARLI (45-480dk),3.944,14.662,0.269,442,487,45,493.0,45,1,20,ACIK(UFUK),3
S16_005,S16,Hat-3,446,KARARLI (45-480dk),7.89,20.7,0.3811,446,492,46,497.3,45,2,40,ACIK(UFUK),5
S9_008,S9,Hat-2,454,KARARLI (45-480dk),8.281,16.387,0.5053,454,500,46,505.2,45,1,20,ACIK(UFUK),6
S18_008,S18,Hat-3,459,KARARLI (45-480dk),7.626,12.075,0.6316,459,505,46,510.1,45,1,15,ACIK(UFUK),10
S24_009,S24,Hat-4,459,KARARLI (45-480dk),11.194,18.112,0.618,459,505,46,510.5,45,1,20,ACIK(UFUK),7
S12_008,S12,Hat-2,460,KARARLI (45-480dk),7.603,12.075,0.6297,460,506,46,511.5,45,1,15,ACIK(UFUK),9
S13_010,S13,Hat-3,460,KARARLI (45-480dk),12.409,19.837,0.6255,460,506,46,511.7,45,1,20,ACIK(UFUK),8
S7_009,S7,Hat-2,466,KARARLI (45-480dk),13.689,18.112,0.7558,466,512,46,517.5,45,1,20,ACIK(UFUK),11
S20_007,S20,Hat-4,470,KARARLI (45-480dk),11.068,13.8,0.802,470,516,46,521.2,45,1,20,ACIK(UFUK),12
S5_007,S5,Hat-1,474,KARARLI (45-480dk),9.286,10.35,0.8972,474,520,46,525.5,45,1,15,ACIK(UFUK),13
S23_007,S23,Hat-4,477,KARARLI (45-480dk),9.78,10.35,0.9449,477,523,46,528.3,45,1,15,ACIK(UFUK),14
S11_007,S11,Hat-2,479,KARARLI (45-480dk),13.664,13.8,0.9901,479,525,46,530.2,45,1,20,ACIK(UFUK),16
S14_008,S14,Hat-3,479,KARARLI (45-480dk),15.224,15.525,0.9806,479,524,45,529.7,45,1,20,ACIK(UFUK),15
