from_node,to_node,from_label,to_label,mesafe_m,sure_dk
7,14,S7,S14,337,2.02
7,15,S7,S15,316,1.9
7,16,S7,S16,308,1.85
7,17,S7,S17,360,2.16
7,18,S7,S18,274,1.64
7,19,S7,S19,366,2.2
7,20,S7,S20,353,2.12
7,21,S7,S21,263,1.58
7,22,S7,S22,274,1.64
7,23,S7,S23,288,1.73
7,24,S7,S24,400,2.4
8,0,S8,Depo,120,0.72
8,1,S8,S1,336,2.02
8,2,S8,S2,330,1.98
8,3,S8,S3,282,1.69
8,4,S8,S4,288,1.73
8,5,S8,S5,255,1.53
8,6,S8,S6,279,1.67
8,7,S8,S7,180,1.08
8,9,S8,S9,180,1.08
8,10,S8,S10,360,2.16
8,11,S8,S11,540,3.24
8,12,S8,S12,720,4.32
8,13,S8,S13,416,2.5
8,14,S8,S14,281,1.69
8,15,S8,S15,387,2.32
8,16,S8,S16,295,1.77
8,17,S8,S17,334,2.0
8,18,S8,S18,396,2.38
8,19,S8,S19,287,1.72
8,20,S8,S20,258,1.55
8,21,S8,S21,337,2.02
8,22,S8,S22,285,1.71
8,23,S8,S23,258,1.55
8,24,S8,S24,323,1.94
9,0,S9,Depo,120,0.72
9,1,S9,S1,379,2.27
9,2,S9,S2,253,1.52
9,3,S9,S3,363,2.18
9,4,S9,S4,285,1.71
9,5,S9,S5,266,1.6
9,6,S9,S6,353,2.12
9,7,S9,S7,360,2.16
9,8,S9,S8,180,1.08
9,10,S9,S10,180,1.08
9,11,S9,S11,360,2.16
9,12,S9,S12,540,3.24
9,13,S9,S13,394,2.36
9,14,S9,S14,303,1.82
9,15,S9,S15,404,2.42
9,16,S9,S16,383,2.3
9,17,S9,S17,283,1.7
9,18,S9,S18,377,2.26
9,19,S9,S19,308,1.85
9,20,S9,S20,365,2.19
9,21,S9,S21,414,2.48
9,22,S9,S22,311,1.87
9,23,S9,S23,359,2.15
9,24,S9,S24,322,1.93
10,0,S10,Depo,120,0.72
10,1,S10,S1,302,1.81
10,2,S10,S2,272,1.63
10,3,S10,S3,351,2.11
10,4,S10,S4,257,1.54
10,5,S10,S5,362,2.17
10,6,S10,S6,376,2.26
10,7,S10,S7,540,3.24
10,8,S10,S8,360,2.16
10,9,S10,S9,180,1.08
10,11,S10,S11,180,1.08
10,12,S10,S12,360,2.16
10,13,S10,S13,344,2.06
10,14,S10,S14,290,1.74
10,15,S10,S15,356,2.14
10,16,S10,S16,392,2.35
10,17,S10,S17,270,1.62
10,18,S10,S18,264,1.58
10,19,S10,S19,305,1.83
10,20,S10,S20,379,2.27
10,21,S10,S21,369,2.21
10,22,S10,S22,274,1.64
10,23,S10,S23,405,2.43
10,24,S10,S24,360,2.16
11,0,S11,Depo,120,0.72
11,1,S11,S1,391,2.35
11,2,S11,S2,301,1.81
11,3,S11,S3,273,1.64
11,4,S11,S4,345,2.07
11,5,S11,S5,342,2.05
11,6,S11,S6,333,2.0
11,7,S11,S7,720,4.32
11,8,S11,S8,540,3.24
11,9,S11,S9,360,2.16
11,10,S11,S10,180,1.08
11,12,S11,S12,180,1.08
11,13,S11,S13,416,2.5
11,14,S11,S14,276,1.66
11,15,S11,S15,318,1.91
11,16,S11,S16,381,2.29
11,17,S11,S17,292,1.75
11,18,S11,S18,379,2.27
11,19,S11,S19,276,1.66
11,20,S11,S20,372,2.23
11,21,S11,S21,330,1.98
11,22,S11,S22,364,2.18
11,23,S11,S23,303,1.82
11,24,S11,S24,303,1.82
12,0,S12,Depo,120,0.72
12,1,S12,S1,368,2.21
12,2,S12,S2,344,2.06
12,3,S12,S3,356,2.14
12,4,S12,S4,359,2.15
12,5,S12,S5,295,1.77
12,6,S12,S6,387,2.32
12,7,S12,S7,900,5.4
12,8,S12,S8,720,4.32
12,9,S12,S9,540,3.24
12,10,S12,S10,360,2.16
12,11,S12,S11,180,1.08
12,13,S12,S13,304,1.82
12,14,S12,S14,306,1.84
12,15,S12,S15,326,1.96
12,16,S12,S16,419,2.51
12,17,S12,S17,372,2.23
12,18,S12,S18,369,2.21
12,19,S12,S19,329,1.97
12,20,S12,S20,283,1.7
12,21,S12,S21,329,1.97
12,22,S12,S22,262,1.57
12,23,S12,S23,339,2.03
12,24,S12,S24,373,2.24
13,0,S13,Depo,180,1.08
13,1,S13,S1,313,1.88
13,2,S13,S2,393,2.36
13,3,S13,S3,408,2.45
13,4,S13,S4,400,2.4
13,5,S13,S5,312,1.87
13,6,S13,S6,336,2.02
13,7,S13,S7,415,2.49
13,8,S13,S8,281,1.69
13,9,S13,S9,297,1.78
13,10,S13,S10,413,2.48
13,11,S13,S11,283,1.7
13,12,S13,S12,323,1.94
13,14,S13,S14,180,1.08
13,15,S13,S15,360,2.16
13,16,S13,S16,540,3.24
13,17,S13,S17,720,4.32
13,18,S13,S18,900,5.4
13,19,S13,S19,356,2.14
13,20,S13,S20,395,2.37
13,21,S13,S21,288,1.73
13,22,S13,S22,289,1.73
13,23,S13,S23,284,1.7
13,24,S13,S24,418,2.51
14,0,S14,Depo,180,1.08
14,1,S14,S1,401,2.41
14,2,S14,S2,317,1.9
14,3,S14,S3,371,2.23
14,4,S14,S4,369,2.21
14,5,S14,S5,323,1.94
14,6,S14,S6,309,1.85
14,7,S14,S7,336,2.02
14,8,S14,S8,289,1.73
14,9,S14,S9,261,1.57
14,10,S14,S10,369,2.21
14,11,S14,S11,293,1.76
14,12,S14,S12,399,2.39
14,13,S14,S13,180,1.08
14,15,S14,S15,180,1.08
14,16,S14,S16,360,2.16
14,17,S14,S17,540,3.24
14,18,S14,S18,720,4.32
14,19,S14,S19,372,2.23
14,20,S14,S20,402,2.41
14,21,S14,S21,348,2.09
14,22,S14,S22,343,2.06
14,23,S14,S23,274,1.64
14,24,S14,S24,370,2.22
15,0,S15,Depo,180,1.08
15,1,S15,S1,318,1.91
15,2,S15,S2,358,2.15
15,3,S15,S3,301,1.81
15,4,S15,S4,409,2.45
15,5,S15,S5,357,2.14
15,6,S15,S6,368,2.21
15,7,S15,S7,266,1.6
15,8,S15,S8,374,2.24
15,9,S15,S9,342,2.05
15,10,S15,S10,277,1.66
15,11,S15,S11,328,1.97
15,12,S15,S12,262,1.57
15,13,S15,S13,360,2.16
15,14,S15,S14,180,1.08
15,16,S15,S16,180,1.08
15,17,S15,S17,360,2.16
15,18,S15,S18,540,3.24
15,19,S15,S19,280,1.68
15,20,S15,S20,276,1.66
15,21,S15,S21,331,1.99
15,22,S15,S22,349,2.09
15,23,S15,S23,355,2.13
15,24,S15,S24,410,2.46
16,0,S16,Depo,180,1.08
16,1,S16,S1,296,1.78
16,2,S16,S2,417,2.5
16,3,S16,S3,370,2.22
16,4,S16,S4,406,2.44
16,5,S16,S5,387,2.32
16,6,S16,S6,415,2.49
16,7,S16,S7,410,2.46
16,8,S16,S8,299,1.79
16,9,S16,S9,305,1.83
16,10,S16,S10,306,1.84
16,11,S16,S11,308,1.85
16,12,S16,S12,264,1.58
16,13,S16,S13,540,3.24
16,14,S16,S14,360,2.16
16,15,S16,S15,180,1.08
16,17,S16,S17,180,1.08
16,18,S16,S18,360,2.16
16,19,S16,S19,298,1.79
16,20,S16,S20,351,2.11
16,21,S16,S21,407,2.44
16,22,S16,S22,342,2.05
16,23,S16,S23,345,2.07
16,24,S16,S24,361,2.17
17,0,S17,Depo,180,1.08
17,1,S17,S1,266,1.6
17,2,S17,S2,372,2.23
17,3,S17,S3,268,1.61
17,4,S17,S4,257,1.54
17,5,S17,S5,397,2.38
17,6,S17,S6,416,2.5
17,7,S17,S7,309,1.85
17,8,S17,S8,391,2.35
17,9,S17,S9,282,1.69
17,10,S17,S10,411,2.47
17,11,S17,S11,307,1.84
17,12,S17,S12,408,2.45
17,13,S17,S13,720,4.32
17,14,S17,S14,540,3.24
17,15,S17,S15,360,2.16
17,16,S17,S16,180,1.08
17,18,S17,S18,180,1.08
17,19,S17,S19,313,1.88
17,20,S17,S20,270,1.62
17,21,S17,S21,304,1.82
17,22,S17,S22,360,2.16
17,23,S17,S23,378,2.27
17,24,S17,S24,388,2.33
18,0,S18,Depo,180,1.08
18,1,S18,S1,265,1.59
18,2,S18,S2,397,2.38
18,3,S18,S3,271,1.63
18,4,S18,S4,339,2.03
18,5,S18,S5,261,1.57
18,6,S18,S6,328,1.97
18,7,S18,S7,313,1.88
18,8,S18,S8,296,1.78
18,9,S18,S9,392,2.35
18,10,S18,S10,257,1.54
18,11,S18,S11,330,1.98
18,12,S18,S12,283,1.7
18,13,S18,S13,900,5.4
18,14,S18,S14,720,4.32
18,15,S18,S15,540,3.24
18,16,S18,S16,360,2.16
18,17,S18,S17,180,1.08
18,19,S18,S19,289,1.73
18,20,S18,S20,295,1.77
18,21,S18,S21,373,2.24
18,22,S18,S22,353,2.12
18,23,S18,S23,321,1.93
18,24,S18,S24,336,2.02
19,0,S19,Depo,250,1.5
19,1,S19,S1,322,1.93
19,2,S19,S2,268,1.61
19,3,S19,S3,405,2.43
19,4,S19,S4,348,2.09
19,5,S19,S5,305,1.83
19,6,S19,S6,323,1.94
19,7,S19,S7,359,2.15
19,8,S19,S8,367,2.2
19,9,S19,S9,363,2.18
19,10,S19,S10,259,1.55
19,11,S19,S11,306,1.84
19,12,S19,S12,255,1.53
19,13,S19,S13,341,2.05
19,14,S19,S14,366,2.2
19,15,S19,S15,353,2.12
19,16,S19,S16,282,1.69
19,17,S19,S17,277,1.66
19,18,S19,S18,282,1.69
19,20,S19,S20,180,1.08
19,21,S19,S21,360,2.16
19,22,S19,S22,540,3.24
19,23,S19,S23,720,4.32
19,24,S19,S24,900,5.4
20,0,S20,Depo,250,1.5
20,1,S20,S1,279,1.67
20,2,S20,S2,361,2.17
20,3,S20,S3,333,2.0
20,4,S20,S4,349,2.09
20,5,S20,S5,281,1.69
20,6,S20,S6,292,1.75
20,7,S20,S7,359,2.15
20,8,S20,S8,296,1.78
20,9,S20,S9,261,1.57
20,10,S20,S10,258,1.55
20,11,S20,S11,407,2.44
20,12,S20,S12,263,1.58
20,13,S20,S13,364,2.18
20,14,S20,S14,282,1.69
20,15,S20,S15,375,2.25
20,16,S20,S16,402,2.41
20,17,S20,S17,254,1.52
20,18,S20,S18,399,2.39
20,19,S20,S19,180,1.08
20,21,S20,S21,180,1.08
20,22,S20,S22,360,2.16
20,23,S20,S23,540,3.24
20,24,S20,S24,720,4.32
21,0,S21,Depo,250,1.5
21,1,S21,S1,407,2.44
21,2,S21,S2,308,1.85
21,3,S21,S3,364,2.18
21,4,S21,S4,327,1.96
21,5,S21,S5,413,2.48
21,6,S21,S6,340,2.04
21,7,S21,S7,347,2.08
21,8,S21,S8,414,2.48
21,9,S21,S9,354,2.12
21,10,S21,S10,344,2.06
21,11,S21,S11,285,1.71
21,12,S21,S12,265,1.59
21,13,S21,S13,326,1.96
21,14,S21,S14,395,2.37
21,15,S21,S15,328,1.97
21,16,S21,S16,305,1.83
21,17,S21,S17,291,1.75
21,18,S21,S18,367,2.2
21,19,S21,S19,360,2.16
21,20,S21,S20,180,1.08
21,22,S21,S22,180,1.08
21,23,S21,S23,360,2.16
21,24,S21,S24,540,3.24
22,0,S22,Depo,250,1.5
22,1,S22,S1,368,2.21
22,2,S22,S2,337,2.02
22,3,S22,S3,280,1.68
22,4,S22,S4,262,1.57
22,5,S22,S5,273,1.64
22,6,S22,S6,337,2.02
22,7,S22,S7,251,1.51
22,8,S22,S8,326,1.96
22,9,S22,S9,326,1.96
22,10,S22,S10,285,1.71
22,11,S22,S11,254,1.52
22,12,S22,S12,392,2.35
22,13,S22,S13,345,2.07
22,14,S22,S14,353,2.12
22,15,S22,S15,300,1.8
22,16,S22,S16,258,1.55
22,17,S22,S17,411,2.47
22,18,S22,S18,252,1.51
22,19,S22,S19,540,3.24
22,20,S22,S20,360,2.16
22,21,S22,S21,180,1.08
22,23,S22,S23,180,1.08
22,24,S22,S24,360,2.16
23,0,S23,Depo,250,1.5
23,1,S23,S1,290,1.74
23,2,S23,S2,326,1.96
23,3,S23,S3,418,2.51
23,4,S23,S4,297,1.78
23,5,S23,S5,372,2.23
23,6,S23,S6,392,2.35
23,7,S23,S7,390,2.34
23,8,S23,S8,258,1.55
23,9,S23,S9,258,1.55
23,10,S23,S10,314,1.88
23,11,S23,S11,304,1.82
23,12,S23,S12,356,2.14
23,13,S23,S13,353,2.12
23,14,S23,S14,387,2.32
23,15,S23,S15,393,2.36
23,16,S23,S16,386,2.32
23,17,S23,S17,300,1.8
23,18,S23,S18,333,2.0
23,19,S23,S19,720,4.32
23,20,S23,S20,540,3.24
23,21,S23,S21,360,2.16
23,22,S23,S22,180,1.08
23,24,S23,S24,180,1.08
24,0,S24,Depo,250,1.5
24,1,S24,S1,292,1.75
24,2,S24,S2,326,1.96
24,3,S24,S3,323,1.94
24,4,S24,S4,351,2.11
24,5,S24,S5,364,2.18
24,6,S24,S6,358,2.15
24,7,S24,S7,394,2.36
24,8,S24,S8,335,2.01
24,9,S24,S9,396,2.38
24,10,S24,S10,278,1.67
24,11,S24,S11,359,2.15
24,12,S24,S12,386,2.32
24,13,S24,S13,366,2.2
24,14,S24,S14,350,2.1
24,15,S24,S15,311,1.87
24,16,S24,S16,256,1.54
24,17,S24,S17,335,2.01
24,18,S24,S18,348,2.09
24,19,S24,S19,900,5.4
24,20,S24,S20,720,4.32
24,21,S24,S21,540,3.24
24,22,S24,S22,360,2.16
24,23,S24,S23,180,1.08
