rota_id,arac_id,tur_no,sinyal_id,istasyon_id,hat,istenen_kutu,tw_baslangic,tw_bitis,varis_dk,cikis_dk,teslim_durumu,gercek_gecikme_dk
ROTA_009,A1,5,S21_004,S21,Hat-4,1,223,269.0,251.0,259.0,ZAMANINDA_TESLİM,0.0
ROTA_009,A1,5,S9_004,S9,Hat-2,1,200,246.0,264.0,272.0,GECİKMELİ_TESLİM,18.0
ROTA_009,A1,5,S10_003,S10,Hat-2,1,195,240.0,277.0,285.0,GECİKMELİ_TESLİM,37.0
ROTA_009,A1,5,S13_005,S13,Hat-3,1,205,250.0,290.0,298.0,GECİKMELİ_TESLİM,40.0
ROTA_010,A2,5,S17_004,S17,Hat-3,1,232,278.0,245.0,253.0,ZAMANINDA_TESLİM,0.0
ROTA_010,A2,5,S12_003,S12,Hat-2,1,139,184.0,258.0,266.0,GECİKMELİ_TESLİM,74.0
ROTA_010,A2,5,S1_003,S1,Hat-1,1,111,157.0,271.0,279.0,GECİKMELİ_TESLİM,114.0
ROTA_010,A2,5,S22_003,S22,Hat-4,1,153,198.0,284.0,292.0,GECİKMELİ_TESLİM,86.0
ROTA_010,A2,5,S5_001,S5,Hat-1,1,23,69.0,297.0,305.0,GECİKMELİ_TESLİM,228.0
ROTA_011,A1,6,S8_005,S8,Hat-2,1,294,340.0,310.0,318.0,ZAMANINDA_TESLİM,0.0
ROTA_011,A1,6,S3_005,S3,Hat-1,1,251,297.0,323.0,331.0,GECİKMELİ_TESLİM,26.0
ROTA_011,A1,6,S13_006,S13,Hat-3,1,255,301.0,336.0,344.0,GECİKMELİ_TESLİM,35.0
ROTA_011,A1,6,S10_004,S10,Hat-2,1,277,322.0,349.0,357.0,GECİKMELİ_TESLİM,27.0
ROTA_011,A1,6,S1_006,S1,Hat-1,1,277,323.0,362.0,370.0,GECİKMELİ_TESLİM,39.0
ROTA_012,A2,6,S3_006,S3,Hat-1,1,310,355.0,317.0,325.0,ZAMANINDA_TESLİM,0.0
ROTA_012,A2,6,S15_005,S15,Hat-3,1,247,292.0,330.0,338.0,GECİKMELİ_TESLİM,38.0
ROTA_012,A2,6,S15_006,S15,Hat-3,1,305,351.0,338.0,346.0,ZAMANINDA_TESLİM,0.0
ROTA_012,A2,6,S6_005,S6,Hat-1,1,296,341.0,351.0,359.0,GECİKMELİ_TESLİM,10.0
ROTA_012,A2,6,S4_005,S4,Hat-1,1,251,297.0,364.0,372.0,GECİKMELİ_TESLİM,67.0
ROTA_013,A1,7,S4_006,S4,Hat-1,1,312,357.0,382.0,390.0,GECİKMELİ_TESLİM,25.0
ROTA_013,A1,7,S20_005,S20,Hat-4,1,323,369.0,395.0,403.0,GECİKMELİ_TESLİM,26.0
ROTA_013,A1,7,S12_006,S12,Hat-2,1,333,378.0,408.0,416.0,GECİKMELİ_TESLİM,30.0
ROTA_013,A1,7,S2_006,S2,Hat-1,1,354,399.0,421.0,429.0,GECİKMELİ_TESLİM,22.0
ROTA_013,A1,7,S16_004,S16,Hat-3,2,347,393.0,434.0,442.0,GECİKMELİ_TESLİM,41.0
ROTA_014,A2,7,S18_006,S18,Hat-3,1,332,378.0,384.0,392.0,GECİKMELİ_TESLİM,6.0
ROTA_014,A2,7,S19_006,S19,Hat-4,1,309,355.0,397.0,405.0,GECİKMELİ_TESLİM,42.0
ROTA_014,A2,7,S6_006,S6,Hat-1,1,366,412.0,410.0,418.0,ZAMANINDA_TESLİM,0.0
ROTA_014,A2,7,S15_007,S15,Hat-3,1,364,410.0,423.0,431.0,GECİKMELİ_TESLİM,13.0
ROTA_014,A2,7,S12_005,S12,Hat-2,1,269,315.0,436.0,444.0,GECİKMELİ_TESLİM,121.0
ROTA_015,A1,8,S14_007,S14,Hat-3,1,415,461.0,454.0,462.0,ZAMANINDA_TESLİM,0.0
ROTA_015,A1,8,S13_009,S13,Hat-3,1,409,455.0,467.0,475.0,GECİKMELİ_TESLİM,12.0
ROTA_015,A1,8,S12_007,S12,Hat-2,1,397,443.0,480.0,488.0,GECİKMELİ_TESLİM,37.0
ROTA_015,A1,8,S4_008,S4,Hat-1,1,430,476.0,493.0,501.0,GECİKMELİ_TESLİM,17.0
ROTA_015,A1,8,S7_008,S7,Hat-2,1,410,455.0,506.0,514.0,GECİKMELİ_TESLİM,51.0
ROTA_016,A2,8,S18_007,S18,Hat-3,1,395,440.0,456.0,464.0,GECİKMELİ_TESLİM,16.0
ROTA_016,A2,8,S11_005,S11,Hat-2,1,330,375.0,469.0,477.0,GECİKMELİ_TESLİM,94.0
ROTA_016,A2,8,S20_004,S20,Hat-4,1,247,292.0,482.0,490.0,GECİKMELİ_TESLİM,190.0
ROTA_016,A2,8,S14_006,S14,Hat-3,1,348,394.0,495.0,503.0,GECİKMELİ_TESLİM,101.0
ROTA_016,A2,8,S22_005,S22,Hat-4,1,288,333.0,508.0,516.0,GECİKMELİ_TESLİM,175.0
