dakika,istasyon_id,tuketim_adet
20,S6,0.2027
20,S7,0.3047
20,S8,0.1698
20,S9,0.4235
20,S10,0.2157
20,S11,0.2662
20,S12,0.3024
20,S13,0.3893
20,S14,0.2483
20,S15,0.3262
20,S16,0.4431
20,S17,0.2246
20,S18,0.2245
20,S19,0.275
20,S20,0.1929
20,S21,0.2568
20,S22,0.4146
20,S23,0.1441
20,S24,0.3894
21,S1,0.319
21,S2,0.2708
21,S3,0.2204
21,S4,0.2757
21,S5,0.2019
21,S6,0.2362
21,S7,0.3689
21,S8,0.2145
21,S9,0.3015
21,S10,0.1501
21,S11,0.2359
21,S12,0.2686
21,S13,0.4217
21,S14,0.2413
21,S15,0.255
21,S16,0.4601
21,S17,0.1887
21,S18,0.2587
21,S19,0.2892
21,S20,0.2971
21,S21,0.1836
21,S22,0.1917
21,S23,0.1349
21,S24,0.3534
22,S1,0.3857
22,S2,0.2457
22,S3,0.2819
22,S4,0.2226
22,S5,0.1974
22,S6,0.2147
22,S7,0.3044
22,S8,0.2187
22,S9,0.2622
22,S10,0.1692
22,S11,0.3203
22,S12,0.2064
22,S13,0.4474
22,S14,0.2322
22,S15,0.2765
22,S16,0.5153
22,S17,0.1433
22,S18,0.1961
22,S19,0.3718
22,S20,0.2558
22,S21,0.2327
22,S22,0.2638
22,S23,0.2035
22,S24,0.3391
23,S1,0.4523
23,S2,0.3153
23,S3,0.2669
23,S4,0.3059
23,S5,0.1805
23,S6,0.2588
23,S7,0.3776
23,S8,0.1984
23,S9,0.335
23,S10,0.2594
23,S11,0.3131
23,S12,0.2181
23,S13,0.4754
23,S14,0.2755
23,S15,0.1481
23,S16,0.3194
23,S17,0.1773
23,S18,0.2169
23,S19,0.3346
23,S20,0.3561
23,S21,0.2308
23,S22,0.2869
23,S23,0.2332
23,S24,0.1952
24,S1,0.3839
24,S2,0.3463
24,S3,0.1761
24,S4,0.4096
24,S5,0.2135
24,S6,0.2598
24,S7,0.3943
24,S8,0.3151
24,S9,0.3282
24,S10,0.1924
24,S11,0.2422
24,S12,0.1937
24,S13,0.447
24,S14,0.2486
24,S15,0.2536
24,S16,0.3618
24,S17,0.3105
24,S18,0.2489
24,S19,0.4025
24,S20,0.2395
24,S21,0.205
24,S22,0.2413
24,S23,0.1822
24,S24,0.3764
25,S1,0.4222
25,S2,0.2447
25,S3,0.2935
25,S4,0.4237
25,S5,0.2165
25,S6,0.3897
25,S7,0.2958
25,S8,0.1627
25,S9,0.204
25,S10,0.2382
25,S11,0.3016
25,S12,0.2307
25,S13,0.4048
25,S14,0.2325
25,S15,0.3723
25,S16,0.4103
25,S17,0.2895
25,S18,0.2672
25,S19,0.3654
25,S20,0.2786
25,S21,0.1824
25,S22,0.3283
25,S23,0.2753
25,S24,0.4442
26,S1,0.4835
26,S2,0.2693
26,S3,0.2005
26,S4,0.3249
26,S5,0.2022
26,S6,0.3453
26,S7,0.2315
26,S8,0.2829
26,S9,0.3067
26,S10,0.1677
26,S11,0.2127
26,S12,0.1561
26,S13,0.4464
26,S14,0.3044
26,S15,0.1855
26,S16,0.2964
26,S17,0.2643
26,S18,0.3112
26,S19,0.316
26,S20,0.1865
26,S21,0.206
26,S22,0.2836
26,S23,0.0921
26,S24,0.3462
27,S1,0.3497
27,S2,0.3418
27,S3,0.3424
27,S4,0.4084
27,S5,0.1892
27,S6,0.2206
27,S7,0.5301
27,S8,0.2192
27,S9,0.3175
27,S10,0.1824
27,S11,0.2772
27,S12,0.2266
27,S13,0.3394
27,S14,0.2672
27,S15,0.2484
27,S16,0.3565
27,S17,0.2429
27,S18,0.2383
27,S19,0.3163
27,S20,0.3469
27,S21,0.1018
27,S22,0.3655
27,S23,0.2498
27,S24,0.2049
28,S1,0.3415
28,S2,0.2777
28,S3,0.1796
28,S4,0.2815
28,S5,0.1556
28,S6,0.3826
28,S7,0.4155
28,S8,0.2718
28,S9,0.3624
28,S10,0.1419
28,S11,0.2387
28,S12,0.2562
28,S13,0.2896
28,S14,0.3428
28,S15,0.238
28,S16,0.37
28,S17,0.3236
28,S18,0.2541
28,S19,0.3093
28,S20,0.3285
28,S21,0.1698
28,S22,0.337
28,S23,0.2237
28,S24,0.3283
29,S1,0.3906
29,S2,0.2249
29,S3,0.2962
29,S4,0.321
29,S5,0.1791
29,S6,0.3428
29,S7,0.3007
29,S8,0.1556
29,S9,0.2181
29,S10,0.2056
29,S11,0.1984
29,S12,0.3152
29,S13,0.2237
29,S14,0.4018
29,S15,0.2606
29,S16,0.3923
29,S17,0.2525
29,S18,0.252
29,S19,0.3308
29,S20,0.3255
29,S21,0.2216
29,S22,0.309
29,S23,0.1855
29,S24,0.346
30,S1,0.3892
30,S2,0.1974
30,S3,0.1826
30,S4,0.3829
30,S5,0.2068
30,S6,0.2729
30,S7,0.3513
30,S8,0.2317
30,S9,0.2825
30,S10,0.1548
30,S11,0.2771
30,S12,0.1877
30,S13,0.4146
30,S14,0.1978
30,S15,0.3015
30,S16,0.4378
30,S17,0.2978
30,S18,0.2792
30,S19,0.4444
30,S20,0.3208
30,S21,0.1369
30,S22,0.2232
30,S23,0.175
30,S24,0.3518
31,S1,0.4046
31,S2,0.2565
31,S3,0.2593
31,S4,0.283
31,S5,0.1755
31,S6,0.2036
31,S7,0.2854
31,S8,0.1581
31,S9,0.2549
31,S10,0.222
31,S11,0.216
31,S12,0.3562
31,S13,0.4212
31,S14,0.3111
31,S15,0.2071
31,S16,0.456
31,S17,0.2507
31,S18,0.239
31,S19,0.504
31,S20,0.2615
31,S21,0.2665
31,S22,0.2578
31,S23,0.1986
31,S24,0.474
32,S1,0.3207
32,S2,0.4087
32,S3,0.2854
32,S4,0.2958
32,S5,0.2253
32,S6,0.3384
32,S7,0.3935
32,S8,0.1486
32,S9,0.2706
32,S10,0.1743
32,S11,0.2627
32,S12,0.2623
32,S13,0.397
32,S14,0.2199
32,S15,0.269
32,S16,0.4488
32,S17,0.3151
32,S18,0.2838
32,S19,0.3889
32,S20,0.2912
32,S21,0.2136
32,S22,0.2003
32,S23,0.2172
32,S24,0.3645
33,S1,0.3866
33,S2,0.2234
33,S3,0.1959
33,S4,0.4035
33,S5,0.1984
33,S6,0.322
33,S7,0.352
33,S8,0.218
33,S9,0.3761
33,S10,0.1644
33,S11,0.2718
33,S12,0.2118
33,S13,0.35
33,S14,0.2814
33,S15,0.2611
33,S16,0.3617
33,S17,0.3545
33,S18,0.1916
33,S19,0.3209
33,S20,0.2432
33,S21,0.2794
33,S22,0.3118
33,S23,0.2413
33,S24,0.246
34,S1,0.3863
34,S2,0.3534
34,S3,0.2541
34,S4,0.4044
34,S5,0.1793
34,S6,0.3632
34,S7,0.5109
34,S8,0.2009
34,S9,0.2885
34,S10,0.2366
34,S11,0.3509
34,S12,0.2089
34,S13,0.3511
34,S14,0.2831
34,S15,0.1828
34,S16,0.3265
34,S17,0.2264
34,S18,0.1975
34,S19,0.331
34,S20,0.2792
34,S21,0.2839
34,S22,0.2401
34,S23,0.2394
34,S24,0.335
35,S1,0.363
35,S2,0.3405
35,S3,0.1939
35,S4,0.3588
35,S5,0.2067
35,S6,0.3112
35,S7,0.3702
35,S8,0.3231
35,S9,0.2763
35,S10,0.1639
35,S11,0.2334
35,S12,0.2074
35,S13,0.3345
35,S14,0.3713
35,S15,0.321
35,S16,0.3543
35,S17,0.2362
35,S18,0.2553
35,S19,0.2965
35,S20,0.3004
35,S21,0.2255
35,S22,0.2091
35,S23,0.2619
35,S24,0.4757
36,S1,0.3217
36,S2,0.2767
36,S3,0.2643
36,S4,0.3556
36,S5,0.2263
36,S6,0.3972
36,S7,0.3376
36,S8,0.1821
36,S9,0.2293
36,S10,0.1565
36,S11,0.2649
36,S12,0.3171
36,S13,0.3436
36,S14,0.3134
36,S15,0.2492
36,S16,0.4951
36,S17,0.4265
36,S18,0.2086
36,S19,0.3007
36,S20,0.3224
36,S21,0.2462
36,S22,0.4108
36,S23,0.2234
36,S24,0.3248
37,S1,0.41
37,S2,0.3665
37,S3,0.291
37,S4,0.3672
37,S5,0.2427
37,S6,0.3496
37,S7,0.4468
37,S8,0.2448
37,S9,0.3061
37,S10,0.1887
37,S11,0.331
37,S12,0.1952
37,S13,0.4116
37,S14,0.2764
37,S15,0.2514
37,S16,0.5023
37,S17,0.2942
37,S18,0.2355
37,S19,0.2427
37,S20,0.3065
37,S21,0.2446
37,S22,0.4298
37,S23,0.1877
37,S24,0.3653
38,S1,0.385
38,S2,0.3946
38,S3,0.2452
38,S4,0.3519
38,S5,0.2243
38,S6,0.2939
38,S7,0.3187
38,S8,0.2251
38,S9,0.3847
38,S10,0.1457
38,S11,0.2738
38,S12,0.2007
38,S13,0.475
38,S14,0.2086
38,S15,0.2221
38,S16,0.4302
38,S17,0.372
38,S18,0.2303
38,S19,0.2963
38,S20,0.367
38,S21,0.1539
38,S22,0.1681
38,S23,0.2176
38,S24,0.3149
39,S1,0.2918
39,S2,0.3425
39,S3,0.2622
39,S4,0.2957
39,S5,0.1488
39,S6,0.3328
39,S7,0.3955
39,S8,0.2124
39,S9,0.4336
39,S10,0.1441
39,S11,0.1853
39,S12,0.201
39,S13,0.3798
39,S14,0.3146
39,S15,0.2379
39,S16,0.4282
39,S17,0.2124
39,S18,0.3007
39,S19,0.3279
39,S20,0.3263
39,S21,0.2315
39,S22,0.3274
39,S23,0.2228
39,S24,0.3813
40,S1,0.4138
40,S2,0.3797
40,S3,0.2598
40,S4,0.3806
40,S5,0.1964
40,S6,0.3649
40,S7,0.3027
40,S8,0.2947
40,S9,0.3141
40,S10,0.1309
40,S11,0.2735
40,S12,0.2016
40,S13,0.4478
40,S14,0.2608
40,S15,0.2277
40,S16,0.2488
40,S17,0.2577
40,S18,0.1202
40,S19,0.2277
40,S20,0.3072
40,S21,0.2507
40,S22,0.3255
40,S23,0.1613
40,S24,0.3467
41,S1,0.3664
41,S2,0.2305
41,S3,0.3252
41,S4,0.3918
41,S5,0.1912
41,S6,0.2849
41,S7,0.3646
41,S8,0.1282
41,S9,0.301
41,S10,0.1583
41,S11,0.2132
41,S12,0.2202
41,S13,0.5212
41,S14,0.3385
41,S15,0.2214
41,S16,0.4458
41,S17,0.3626
41,S18,0.2765
41,S19,0.3373
41,S20,0.2322
41,S21,0.2469
41,S22,0.3236
41,S23,0.2358
41,S24,0.3945
42,S1,0.4436
42,S2,0.2679
42,S3,0.3159
42,S4,0.3465
42,S5,0.283
42,S6,0.2443
42,S7,0.4715
42,S8,0.2252
42,S9,0.2754
42,S10,0.1656
42,S11,0.2496
42,S12,0.2531
42,S13,0.4234
42,S14,0.2656
42,S15,0.2488
42,S16,0.5714
42,S17,0.3812
42,S18,0.2537
42,S19,0.3359
42,S20,0.2731
42,S21,0.2433
42,S22,0.2386
42,S23,0.1897
42,S24,0.2332
43,S1,0.3959
43,S2,0.3388
43,S3,0.2258
43,S4,0.4383
43,S5,0.151
43,S6,0.2004
43,S7,0.3657
43,S8,0.262
43,S9,0.4233
43,S10,0.1665
43,S11,0.3242
43,S12,0.2315
43,S13,0.3701
43,S14,0.353
43,S15,0.2826
43,S16,0.2739
43,S17,0.367
43,S18,0.2977
43,S19,0.2916
43,S20,0.2878
43,S21,0.2381
43,S22,0.3156
43,S23,0.178
43,S24,0.303
44,S1,0.3648
44,S2,0.3704
44,S3,0.2772
44,S4,0.3086
44,S5,0.2309
44,S6,0.1219
44,S7,0.4304
44,S8,0.1413
44,S9,0.2937
44,S10,0.1423
44,S11,0.1976
44,S12,0.2875
44,S13,0.3475
44,S14,0.3208
44,S15,0.2477
44,S16,0.4382
44,S17,0.2877
44,S18,0.1735
44,S19,0.3998
44,S20,0.2403
44,S21,0.1492
44,S22,0.2743
44,S23,0.26
44,S24,0.4095
45,S1,0.3411
45,S2,0.279
45,S3,0.2339
45,S4,0.4718
45,S5,0.2153
45,S6,0.3077
45,S7,0.4221
45,S8,0.227
45,S9,0.3003
45,S10,0.1761
45,S11,0.2628
45,S12,0.2316
45,S13,0.4391
45,S14,0.3031
45,S15,0.2866
45,S16,0.3935
45,S17,0.2878
45,S18,0.1401
45,S19,0.3944
45,S20,0.2851
45,S21,0.2599
45,S22,0.1262
45,S23,0.2835
45,S24,0.3402
46,S1,0.4479
46,S2,0.2376
46,S3,0.2806
46,S4,0.2631
46,S5,0.175
46,S6,0.3918
46,S7,0.3367
46,S8,0.2261
46,S9,0.3718
46,S10,0.2015
46,S11,0.2747
46,S12,0.2504
46,S13,0.5676
46,S14,0.2965
46,S15,0.2601
46,S16,0.4841
46,S17,0.346
46,S18,0.2887
46,S19,0.3759
46,S20,0.2057
46,S21,0.2874
46,S22,0.2312
46,S23,0.2121
46,S24,0.2972
47,S1,0.362
47,S2,0.3197
47,S3,0.2661
47,S4,0.3615
47,S5,0.2645
47,S6,0.309
47,S7,0.3329
47,S8,0.2584
47,S9,0.392
47,S10,0.1383
47,S11,0.2985
47,S12,0.2661
47,S13,0.3605
47,S14,0.3825
47,S15,0.2425
47,S16,0.41
47,S17,0.2735
47,S18,0.2341
47,S19,0.2602
47,S20,0.1899
47,S21,0.2858
47,S22,0.2492
47,S23,0.1603
47,S24,0.1993
48,S1,0.3198
48,S2,0.2206
48,S3,0.3321
48,S4,0.4007
48,S5,0.1725
48,S6,0.411
48,S7,0.4187
48,S8,0.2026
48,S9,0.1584
48,S10,0.2673
48,S11,0.1926
48,S12,0.1565
48,S13,0.4617
48,S14,0.4464
48,S15,0.3192
48,S16,0.4451
48,S17,0.317
48,S18,0.2732
48,S19,0.3839
48,S20,0.2817
48,S21,0.2212
48,S22,0.2962
48,S23,0.1698
48,S24,0.3304
49,S1,0.2425
49,S2,0.2941
49,S3,0.2006
49,S4,0.2598
49,S5,0.2072
49,S6,0.3622
49,S7,0.4143
49,S8,0.1486
49,S9,0.254
49,S10,0.2178
49,S11,0.2143
49,S12,0.2229
49,S13,0.4255
49,S14,0.2419
49,S15,0.2553
49,S16,0.2933
49,S17,0.2493
49,S18,0.2483
49,S19,0.2271
49,S20,0.2902
49,S21,0.2158
49,S22,0.3331
49,S23,0.209
49,S24,0.4455
50,S1,0.3758
50,S2,0.2742
50,S3,0.2561
50,S4,0.3696
50,S5,0.202
50,S6,0.2856
50,S7,0.3009
50,S8,0.1879
50,S9,0.2278
50,S10,0.2475
50,S11,0.2003
50,S12,0.201
50,S13,0.3283
50,S14,0.3537
50,S15,0.2353
50,S16,0.4998
50,S17,0.2452
50,S18,0.2464
50,S19,0.2776
50,S20,0.3811
50,S21,0.1652
50,S22,0.3186
50,S23,0.2254
50,S24,0.379
51,S1,0.3531
51,S2,0.2922
51,S3,0.2522
51,S4,0.3235
51,S5,0.2386
51,S6,0.4086
51,S7,0.311
51,S8,0.1573
51,S9,0.3111
51,S10,0.2779
51,S11,0.2238
51,S12,0.3098
51,S13,0.512
51,S14,0.2668
51,S15,0.2784
51,S16,0.5303
51,S17,0.2618
51,S18,0.2238
51,S19,0.2946
51,S20,0.2125
51,S21,0.1885
51,S22,0.2266
51,S23,0.2014
51,S24,0.2961
52,S1,0.3838
52,S2,0.2066
52,S3,0.2665
52,S4,0.3889
52,S5,0.1203
52,S6,0.3045
52,S7,0.4359
52,S8,0.1642
52,S9,0.4226
52,S10,0.1987
52,S11,0.2291
52,S12,0.2307
52,S13,0.4261
52,S14,0.3046
52,S15,0.2769
52,S16,0.3263
52,S17,0.2929
52,S18,0.1674
52,S19,0.3259
52,S20,0.2185
52,S21,0.1848
52,S22,0.3742
52,S23,0.2437
52,S24,0.3926
53,S1,0.2866
53,S2,0.281
53,S3,0.3107
53,S4,0.3428
53,S5,0.2928
53,S6,0.3056
53,S7,0.3634
53,S8,0.2033
53,S9,0.3251
53,S10,0.1777
53,S11,0.3044
53,S12,0.278
53,S13,0.3231
53,S14,0.2201
53,S15,0.1582
53,S16,0.4406
53,S17,0.2208
53,S18,0.1329
53,S19,0.3592
53,S20,0.3996
53,S21,0.2164
53,S22,0.3503
53,S23,0.2033
53,S24,0.3431
54,S1,0.4341
54,S2,0.2826
54,S3,0.2634
54,S4,0.3548
54,S5,0.1733
54,S6,0.3395
54,S7,0.3378
54,S8,0.1839
54,S9,0.3506
54,S10,0.1504
54,S11,0.2682
54,S12,0.2329
54,S13,0.4666
54,S14,0.3285
54,S15,0.2487
54,S16,0.4654
54,S17,0.3621
54,S18,0.2594
54,S19,0.334
54,S20,0.1967
54,S21,0.1705
54,S22,0.2817
54,S23,0.1756
54,S24,0.3369
55,S1,0.3708
55,S2,0.3318
55,S3,0.2465
55,S4,0.3658
55,S5,0.2026
55,S6,0.1714
55,S7,0.2842
55,S8,0.2104
55,S9,0.2401
55,S10,0.2053
55,S11,0.3483
55,S12,0.2902
55,S13,0.367
55,S14,0.3894
55,S15,0.2574
55,S16,0.373
55,S17,0.2486
55,S18,0.2192
55,S19,0.3075
55,S20,0.2758
55,S21,0.2236
55,S22,0.3002
55,S23,0.2175
55,S24,0.4333
56,S1,0.4363
56,S2,0.2109
56,S3,0.1223
56,S4,0.3956
56,S5,0.1453
56,S6,0.2706
56,S7,0.2681
56,S8,0.1386
56,S9,0.351
56,S10,0.2112
56,S11,0.2359
56,S12,0.1124
56,S13,0.3415
56,S14,0.3235
56,S15,0.1761
56,S16,0.4147
56,S17,0.2825
56,S18,0.2604
56,S19,0.3413
56,S20,0.2148
56,S21,0.2685
56,S22,0.2905
56,S23,0.1989
56,S24,0.2847
57,S1,0.3342
57,S2,0.2469
57,S3,0.2414
57,S4,0.4474
57,S5,0.1451
57,S6,0.1919
57,S7,0.453
57,S8,0.2076
57,S9,0.2743
57,S10,0.2215
57,S11,0.2344
57,S12,0.3185
57,S13,0.4353
57,S14,0.2707
57,S15,0.3579
57,S16,0.3515
57,S17,0.3254
57,S18,0.2473
57,S19,0.4201
57,S20,0.3499
57,S21,0.2181
57,S22,0.2548
57,S23,0.2184
57,S24,0.3026
58,S1,0.5143
58,S2,0.3082
58,S3,0.2317
58,S4,0.3456
58,S5,0.1461
58,S6,0.2283
58,S7,0.434
58,S8,0.1882
58,S9,0.2504
58,S10,0.203
58,S11,0.3299
58,S12,0.2669
58,S13,0.4597
58,S14,0.2546
58,S15,0.1789
58,S16,0.5201
58,S17,0.265
