rota_id,arac_id,tur_no,sinyal_id,istasyon_id,hat,istenen_kutu,tw_baslangic,tw_bitis,varis_dk,cikis_dk,teslim_durumu,gercek_gecikme_dk
ROTA_011,A2,3,S15_002,S15,Hat-3,1,68,114.0,101.0,109.0,ZAMANINDA_TESLİM,0.0
ROTA_011,A2,3,S12_002,S12,Hat-2,1,75,121.0,114.0,122.0,ZAMANINDA_TESLİM,0.0
ROTA_011,A2,3,S4_002,S4,Hat-1,1,66,112.0,127.0,135.0,GECİKMELİ_TESLİM,15.0
ROTA_011,A2,3,S7_002,S7,Hat-2,1,60,106.0,140.0,148.0,GECİKMELİ_TESLİM,34.0
ROTA_011,A2,3,S1_002,S1,Hat-1,1,56,102.0,153.0,161.0,GECİKMELİ_TESLİM,51.0
ROTA_012,A4,3,S5_002,S5,Hat-1,1,98,144.0,106.0,114.0,ZAMANINDA_TESLİM,0.0
ROTA_012,A4,3,S23_002,S23,Hat-4,1,98,144.0,119.0,127.0,ZAMANINDA_TESLİM,0.0
ROTA_012,A4,3,S20_002,S20,Hat-4,1,96,141.0,132.0,140.0,ZAMANINDA_TESLİM,0.0
ROTA_012,A4,3,S21_002,S21,Hat-4,1,86,132.0,145.0,153.0,GECİKMELİ_TESLİM,13.0
ROTA_012,A4,3,S3_002,S3,Hat-1,1,68,113.0,158.0,166.0,GECİKMELİ_TESLİM,45.0
ROTA_013,A3,4,S24_003,S24,Hat-4,1,120,166.0,163.0,171.0,ZAMANINDA_TESLİM,0.0
ROTA_013,A3,4,S15_003,S15,Hat-3,1,128,173.0,176.0,184.0,GECİKMELİ_TESLİM,3.0
ROTA_013,A3,4,S13_004,S13,Hat-3,1,154,199.0,189.0,197.0,ZAMANINDA_TESLİM,0.0
ROTA_013,A3,4,S13_003,S13,Hat-3,1,103,149.0,197.0,205.0,GECİKMELİ_TESLİM,48.0
ROTA_013,A3,4,S7_003,S7,Hat-2,1,117,163.0,210.0,218.0,GECİKMELİ_TESLİM,47.0
ROTA_014,A1,4,S17_003,S17,Hat-3,1,161,207.0,171.0,179.0,ZAMANINDA_TESLİM,0.0
ROTA_014,A1,4,S12_003,S12,Hat-2,1,139,184.0,184.0,192.0,ZAMANINDA_TESLİM,0.0
ROTA_014,A1,4,S1_003,S1,Hat-1,1,111,157.0,197.0,205.0,GECİKMELİ_TESLİM,40.0
ROTA_014,A1,4,S22_003,S22,Hat-4,1,153,198.0,210.0,218.0,GECİKMELİ_TESLİM,12.0
ROTA_014,A1,4,S11_002,S11,Hat-2,1,100,145.0,223.0,231.0,GECİKMELİ_TESLİM,78.0
ROTA_015,A2,4,S9_003,S9,Hat-2,1,137,183.0,173.0,181.0,ZAMANINDA_TESLİM,0.0
ROTA_015,A2,4,S14_003,S14,Hat-3,1,147,193.0,186.0,194.0,ZAMANINDA_TESLİM,0.0
ROTA_015,A2,4,S19_003,S19,Hat-4,1,125,171.0,199.0,207.0,GECİKMELİ_TESLİM,28.0
ROTA_015,A2,4,S4_003,S4,Hat-1,1,127,173.0,212.0,220.0,GECİKMELİ_TESLİM,39.0
ROTA_015,A2,4,S21_003,S21,Hat-4,1,154,200.0,225.0,233.0,GECİKMELİ_TESLİM,25.0
ROTA_016,A4,4,S5_003,S5,Hat-1,1,170,215.0,178.0,186.0,ZAMANINDA_TESLİM,0.0
ROTA_016,A4,4,S20_003,S20,Hat-4,1,171,217.0,191.0,199.0,ZAMANINDA_TESLİM,0.0
ROTA_016,A4,4,S6_003,S6,Hat-1,1,155,201.0,204.0,212.0,GECİKMELİ_TESLİM,3.0
ROTA_016,A4,4,S3_003,S3,Hat-1,1,129,175.0,217.0,225.0,GECİKMELİ_TESLİM,42.0
ROTA_016,A4,4,S8_003,S8,Hat-2,1,156,202.0,230.0,238.0,GECİKMELİ_TESLİM,28.0
ROTA_017,A3,5,S24_004,S24,Hat-4,1,174,219.0,230.0,238.0,GECİKMELİ_TESLİM,11.0
ROTA_017,A3,5,S21_004,S21,Hat-4,1,223,269.0,243.0,251.0,ZAMANINDA_TESLİM,0.0
ROTA_017,A3,5,S9_004,S9,Hat-2,1,200,246.0,256.0,264.0,GECİKMELİ_TESLİM,10.0
ROTA_017,A3,5,S10_003,S10,Hat-2,1,195,240.0,269.0,277.0,GECİKMELİ_TESLİM,29.0
ROTA_017,A3,5,S13_005,S13,Hat-3,1,205,250.0,282.0,290.0,GECİKMELİ_TESLİM,32.0
ROTA_018,A1,5,S17_004,S17,Hat-3,1,232,278.0,243.0,251.0,ZAMANINDA_TESLİM,0.0
ROTA_018,A1,5,S23_003,S23,Hat-4,1,175,220.0,256.0,264.0,GECİKMELİ_TESLİM,36.0
ROTA_018,A1,5,S6_004,S6,Hat-1,1,226,272.0,269.0,277.0,ZAMANINDA_TESLİM,0.0
ROTA_018,A1,5,S15_004,S15,Hat-3,1,186,232.0,282.0,290.0,GECİKMELİ_TESLİM,50.0
ROTA_018,A1,5,S8_004,S8,Hat-2,1,225,271.0,295.0,303.0,GECİKMELİ_TESLİM,24.0
ROTA_019,A2,5,S3_004,S3,Hat-1,1,190,236.0,245.0,253.0,GECİKMELİ_TESLİM,9.0
ROTA_019,A2,5,S7_005,S7,Hat-2,1,236,281.0,258.0,266.0,ZAMANINDA_TESLİM,0.0
ROTA_019,A2,5,S2_004,S2,Hat-1,1,217,262.0,271.0,279.0,GECİKMELİ_TESLİM,9.0
ROTA_019,A2,5,S4_004,S4,Hat-1,1,189,235.0,284.0,292.0,GECİKMELİ_TESLİM,49.0
ROTA_019,A2,5,S19_004,S19,Hat-4,1,187,233.0,297.0,305.0,GECİKMELİ_TESLİM,64.0
ROTA_020,A4,5,S1_005,S1,Hat-1,1,221,267.0,250.0,258.0,ZAMANINDA_TESLİM,0.0
ROTA_020,A4,5,S1_004,S1,Hat-1,1,165,211.0,258.0,266.0,GECİKMELİ_TESLİM,47.0
ROTA_020,A4,5,S11_003,S11,Hat-2,1,177,223.0,271.0,279.0,GECİKMELİ_TESLİM,48.0
ROTA_020,A4,5,S14_004,S14,Hat-3,1,213,259.0,284.0,292.0,GECİKMELİ_TESLİM,25.0
ROTA_020,A4,5,S16_002,S16,Hat-3,2,145,191.0,297.0,305.0,GECİKMELİ_TESLİM,106.0
ROTA_021,A3,6,S8_005,S8,Hat-2,1,294,340.0,302.0,310.0,ZAMANINDA_TESLİM,0.0
ROTA_021,A3,6,S3_005,S3,Hat-1,1,251,297.0,315.0,323.0,GECİKMELİ_TESLİM,18.0
ROTA_021,A3,6,S13_006,S13,Hat-3,1,255,301.0,328.0,336.0,GECİKMELİ_TESLİM,27.0
ROTA_021,A3,6,S10_004,S10,Hat-2,1,277,322.0,341.0,349.0,GECİKMELİ_TESLİM,19.0
ROTA_021,A3,6,S1_006,S1,Hat-1,1,277,323.0,354.0,362.0,GECİKMELİ_TESLİM,31.0
ROTA_022,A1,6,S15_005,S15,Hat-3,1,247,292.0,315.0,323.0,GECİKMELİ_TESLİM,23.0
ROTA_022,A1,6,S15_006,S15,Hat-3,1,305,351.0,323.0,331.0,ZAMANINDA_TESLİM,0.0
ROTA_022,A1,6,S6_005,S6,Hat-1,1,296,341.0,336.0,344.0,ZAMANINDA_TESLİM,0.0
ROTA_022,A1,6,S4_005,S4,Hat-1,1,251,297.0,349.0,357.0,GECİKMELİ_TESLİM,52.0
ROTA_022,A1,6,S12_005,S12,Hat-2,1,269,315.0,362.0,370.0,GECİKMELİ_TESLİM,47.0
ROTA_023,A2,6,S3_006,S3,Hat-1,1,310,355.0,317.0,325.0,ZAMANINDA_TESLİM,0.0
ROTA_023,A2,6,S19_006,S19,Hat-4,1,309,355.0,330.0,338.0,ZAMANINDA_TESLİM,0.0
ROTA_023,A2,6,S20_004,S20,Hat-4,1,247,292.0,343.0,351.0,GECİKMELİ_TESLİM,51.0
ROTA_023,A2,6,S22_005,S22,Hat-4,1,288,333.0,356.0,364.0,GECİKMELİ_TESLİM,23.0
ROTA_023,A2,6,S24_006,S24,Hat-4,1,287,332.0,369.0,377.0,GECİKMELİ_TESLİM,37.0
ROTA_024,A4,6,S21_005,S21,Hat-4,1,291,337.0,318.0,326.0,ZAMANINDA_TESLİM,0.0
ROTA_024,A4,6,S23_004,S23,Hat-4,1,250,296.0,331.0,339.0,GECİKMELİ_TESLİM,35.0
ROTA_024,A4,6,S13_007,S13,Hat-3,1,305,351.0,344.0,352.0,ZAMANINDA_TESLİM,0.0
ROTA_024,A4,6,S18_005,S18,Hat-3,1,266,312.0,357.0,365.0,GECİKMELİ_TESLİM,45.0
ROTA_024,A4,6,S11_004,S11,Hat-2,1,254,299.0,370.0,378.0,GECİKMELİ_TESLİM,71.0
ROTA_025,A3,7,S4_006,S4,Hat-1,1,312,357.0,374.0,382.0,GECİKMELİ_TESLİM,17.0
ROTA_025,A3,7,S20_005,S20,Hat-4,1,323,369.0,387.0,395.0,GECİKMELİ_TESLİM,18.0
ROTA_025,A3,7,S12_006,S12,Hat-2,1,333,378.0,400.0,408.0,GECİKMELİ_TESLİM,22.0
ROTA_025,A3,7,S2_006,S2,Hat-1,1,354,399.0,413.0,421.0,GECİKMELİ_TESLİM,14.0
ROTA_025,A3,7,S16_004,S16,Hat-3,2,347,393.0,426.0,434.0,GECİKMELİ_TESLİM,33.0
ROTA_026,A1,7,S18_006,S18,Hat-3,1,332,378.0,382.0,390.0,GECİKMELİ_TESLİM,4.0
ROTA_026,A1,7,S6_006,S6,Hat-1,1,366,412.0,395.0,403.0,ZAMANINDA_TESLİM,0.0
ROTA_026,A1,7,S15_007,S15,Hat-3,1,364,410.0,408.0,416.0,ZAMANINDA_TESLİM,0.0
ROTA_026,A1,7,S11_005,S11,Hat-2,1,330,375.0,421.0,429.0,GECİKMELİ_TESLİM,46.0
ROTA_026,A1,7,S14_006,S14,Hat-3,1,348,394.0,434.0,442.0,GECİKMELİ_TESLİM,40.0
ROTA_027,A2,7,S13_008,S13,Hat-3,1,357,403.0,389.0,397.0,ZAMANINDA_TESLİM,0.0
ROTA_027,A2,7,S3_007,S3,Hat-1,1,368,413.0,402.0,410.0,ZAMANINDA_TESLİM,0.0
ROTA_027,A2,7,S7_007,S7,Hat-2,1,352,398.0,415.0,423.0,GECİKMELİ_TESLİM,17.0
ROTA_027,A2,7,S8_006,S8,Hat-2,1,361,406.0,428.0,436.0,GECİKMELİ_TESLİM,22.0
ROTA_027,A2,7,S17_006,S17,Hat-3,1,373,419.0,441.0,449.0,GECİKMELİ_TESLİM,22.0
ROTA_028,A4,7,S19_007,S19,Hat-4,1,368,414.0,390.0,398.0,ZAMANINDA_TESLİM,0.0
ROTA_028,A4,7,S9_006,S9,Hat-2,1,326,372.0,403.0,411.0,GECİKMELİ_TESLİM,31.0
ROTA_028,A4,7,S21_006,S21,Hat-4,1,360,406.0,416.0,424.0,GECİKMELİ_TESLİM,10.0
ROTA_028,A4,7,S24_007,S24,Hat-4,1,344,390.0,429.0,437.0,GECİKMELİ_TESLİM,39.0
ROTA_028,A4,7,S4_007,S4,Hat-1,1,370,416.0,442.0,450.0,GECİKMELİ_TESLİM,26.0
ROTA_029,A3,8,S14_007,S14,Hat-3,1,415,461.0,446.0,454.0,ZAMANINDA_TESLİM,0.0
ROTA_029,A3,8,S13_009,S13,Hat-3,1,409,455.0,459.0,467.0,GECİKMELİ_TESLİM,4.0
ROTA_029,A3,8,S12_007,S12,Hat-2,1,397,443.0,472.0,480.0,GECİKMELİ_TESLİM,29.0
ROTA_029,A3,8,S4_008,S4,Hat-1,1,430,476.0,485.0,493.0,GECİKMELİ_TESLİM,9.0
ROTA_029,A3,8,S7_008,S7,Hat-2,1,410,455.0,498.0,506.0,GECİKMELİ_TESLİM,43.0
ROTA_030,A1,8,S18_007,S18,Hat-3,1,395,440.0,454.0,462.0,GECİKMELİ_TESLİM,14.0
ROTA_030,A1,8,S20_006,S20,Hat-4,1,395,441.0,467.0,475.0,GECİKMELİ_TESLİM,26.0
ROTA_030,A1,8,S1_008,S1,Hat-1,1,385,431.0,480.0,488.0,GECİKMELİ_TESLİM,49.0
ROTA_030,A1,8,S11_006,S11,Hat-2,1,405,451.0,493.0,501.0,GECİKMELİ_TESLİM,42.0
ROTA_030,A1,8,S19_008,S19,Hat-4,1,429,475.0,506.0,514.0,GECİKMELİ_TESLİM,31.0
ROTA_031,A2,8,S3_008,S3,Hat-1,1,428,474.0,461.0,469.0,ZAMANINDA_TESLİM,0.0
ROTA_031,A2,8,S22_007,S22,Hat-4,1,423,468.0,474.0,482.0,GECİKMELİ_TESLİM,6.0
ROTA_031,A2,8,S10_005,S10,Hat-2,1,360,406.0,487.0,495.0,GECİKMELİ_TESLİM,81.0
ROTA_031,A2,8,S5_006,S5,Hat-1,1,399,445.0,500.0,508.0,GECİKMELİ_TESLİM,55.0
ROTA_031,A2,8,S24_008,S24,Hat-4,1,402,448.0,513.0,521.0,GECİKMELİ_TESLİM,65.0
ROTA_032,A4,8,S22_006,S22,Hat-4,1,354,400.0,462.0,470.0,GECİKMELİ_TESLİM,62.0
ROTA_032,A4,8,S19_005,S19,Hat-4,1,248,293.0,475.0,483.0,GECİKMELİ_TESLİM,182.0
ROTA_032,A4,8,S17_005,S17,Hat-3,1,301,347.0,488.0,496.0,GECİKMELİ_TESLİM,141.0
ROTA_032,A4,8,S1_007,S1,Hat-1,1,329,375.0,501.0,509.0,GECİKMELİ_TESLİM,126.0
ROTA_032,A4,8,S21_007,S21,Hat-4,1,429,475.0,514.0,522.0,GECİKMELİ_TESLİM,39.0
